----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,27
TIME,15:35:12,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,30.3,C
HUMIDITY,25.4,%
LATITUDE,39.6694,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,1.028804724261246,24.716022021456826,Deg,imu1
POT,-107.94895696091355,10897.34799077734,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,11.3697068071,7.50772016924,15.0261076891,3.97100295169
36.0,11.388234082,7.50772016924,15.1657036453,3.97123877583
60.0,11.4530795441,7.50772016924,15.5105877724,3.97100295169
89.0,11.5457159186,7.50772016924,16.0853946508,3.97123877583
119.0,11.6198250181,7.50772016924,16.5862977877,3.97100295169
147.0,11.6846704803,7.52716020439,16.8244320659,3.97100295169
177.0,11.8143614045,7.51744018681,17.1036239783,3.97123877583
206.0,12.0274250658,7.51744018681,17.5388349005,3.97100295169
235.0,12.5183978504,7.54660023953,18.0479495642,3.97100295169
264.0,12.4998705756,7.55632025711,18.6309679695,3.97100295169
293.0,12.5369251253,7.60492034498,19.2221979016,3.97123877583
323.0,12.6017705875,7.65352043285,19.8298508873,3.97100295169
351.0,12.6202978624,7.71184053829,20.3636001316,3.97100295169
381.0,12.6573524121,7.78960067888,20.9630415905,3.97100295169
410.0,12.7221978743,7.88680085462,21.5706945762,3.97100295169
438.0,12.8796797109,8.01316108308,22.1537129815,3.97100295169
468.0,12.9815797228,8.14924132912,22.8106351282,3.97100295169
497.0,13.1020070096,8.27560155758,23.418288114,3.97147459998
526.0,13.1205342845,8.39224176847,23.8781336167,3.97100295169
555.0,13.278016121,8.50888197936,24.2640753779,3.97100295169
585.0,13.3428615832,8.61580217267,24.6828632465,3.97123877583
613.0,13.4262343202,8.73244238356,25.1427087492,3.97100295169
643.0,13.5281343321,8.8296425593,25.7257271545,3.97100295169
672.0,13.6022434317,8.94628277018,26.3251686134,3.97123877583
700.0,13.6763525312,9.08236301622,26.8178602235,3.97123877583
730.0,13.7597252683,9.21844326226,27.2777057262,3.97100295169
759.0,13.796779818,9.38368356101,27.7047051216,3.97123877583
788.0,13.9264707423,9.55864387734,28.1152814633,3.97100295169
817.0,13.9542616546,9.74332421125,28.4108964294,3.97123877583
847.0,14.0098434793,9.89884449243,28.6736652881,3.97123877583
876.0,14.0561616665,10.044644756,28.8625304053,3.97123877583
904.0,14.1117434912,10.2098850548,28.9117995663,3.97100295169
934.0,14.148798041,10.3848453711,28.9117995663,3.97076712755
963.0,14.148798041,10.5403656523,28.7311459759,3.97123877583
992.0,14.1302707661,10.6764458984,28.5504923856,3.97100295169
1021.0,14.0746889414,10.7930861092,28.2466658927,3.97100295169
1051.0,13.9635252921,10.8805662674,27.8196664973,3.97100295169
1079.0,13.7041434436,10.9291663553,27.335186414,3.97123877583
1109.0,13.0186342725,10.9680464256,26.7521680088,3.97123877583
1138.0,12.2775432768,10.958326408,26.0541882279,3.97100295169
1166.0,12.1756432649,10.9486063904,25.3479969201,3.97123877583
1196.0,12.1107978028,10.8805662674,24.6171710318,3.97123877583
1225.0,12.073743253,10.8125261444,24.0423641534,3.97100295169
1254.0,12.0552159781,10.7347660038,23.5578840702,3.97100295169
1283.0,12.0274250658,10.6375658281,23.2376345236,3.97123877583
1313.0,11.9811068786,10.501485582,22.8927503966,3.97100295169
1341.0,11.8699432292,10.365405336,22.5150201622,3.97100295169
1370.0,11.8606795918,10.2390451075,22.0715977131,3.97123877583
1400.0,11.7958341296,10.1515649494,21.5953291567,3.97123877583
1428.0,11.7587795798,10.0835248263,21.0205222783,3.97100295169
