----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,JR
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,2
TIME,13:1:50,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,24.8,C
HUMIDITY,81.0,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4535817596,-1.61848675335,3.05619126849,-4.0
35.0,92.2920749468,-1.60887630569,3.03621616216,-4.0
55.0,92.282574546,-1.61848675335,3.01624105583,-3.0
82.0,92.3300765498,-1.59926585803,3.02955779339,-3.0
109.0,92.358577752,-1.58965541037,3.04287453094,-4.0
135.0,92.3015753475,-1.59926585803,3.14940843137,-4.0
162.0,92.3395769505,-1.58965541037,3.33584275711,-4.0
189.0,92.2635737445,-1.58004496271,3.50230197653,-3.0
216.0,92.3395769505,-1.54160317208,3.5955191394,-3.0
243.0,92.2730741453,-1.5608240674,3.55556892674,-4.0
270.0,92.320576149,-1.59926585803,3.46235176387,-4.0
296.0,92.282574546,-1.63770764866,3.369134601,-3.0
324.0,92.2730741453,-1.65692854398,3.33584275711,-4.0
350.0,92.3110757483,-1.71459122993,3.34915949467,-4.0
378.0,92.358577752,-1.77225391588,3.50896034531,-3.0
404.0,92.3110757483,-1.82030615417,3.73534488371,-4.0
431.0,92.3490773513,-1.84913749714,4.10155516643,-4.0
458.0,92.3490773513,-1.87796884012,4.52103239936,-4.0
485.0,92.3395769505,-1.93563152607,4.89390105086,-4.0
511.0,92.3680781528,-2.00290465967,5.38662034033,-4.0
538.0,92.3300765498,-2.07017779328,5.99253189901,-3.0
564.0,92.3110757483,-2.11823003157,6.66502714545,-3.0
592.0,92.2730741453,-2.13745092689,7.49066487376,-4.0
620.0,92.320576149,-2.22394495581,8.60261245946,-3.0
647.0,92.2635737445,-2.32004943239,9.70790167639,-3.0
675.0,92.358577752,-2.31043898474,11.1927179136,-3.0
702.0,92.2920749468,-2.19511361284,12.4178577685,-4.0
729.0,92.2540733438,-2.0893986886,13.5497804605,-4.0
757.0,92.320576149,-1.98368376436,14.6484113087,-3.0
785.0,92.3300765498,-1.77225391588,15.5406327248,-4.0
812.0,92.3015753475,-1.57043451506,16.3329786092,-3.0
840.0,92.282574546,-1.37822556189,17.2518335004,-4.0
867.0,92.358577752,-1.17640616107,18.1773467603,-3.0
894.0,92.244572943,-0.984197207905,18.9963261199,-4.0
922.0,92.2920749468,-0.734325568792,19.9551312237,-3.0
949.0,92.320576149,-0.503674824996,21.1403208659,-3.0
977.0,92.244572943,-0.330686767148,22.2056598702,-4.0
1005.0,92.282574546,-0.090425575693,23.2110735555,-4.0
1031.0,92.2730741453,0.15944606342,24.2897292973,-4.0
1059.0,92.358577752,0.515032626773,25.4682605708,-4.0
1087.0,92.3300765498,0.841787847152,26.6135000004,-5.0
1114.0,92.3490773513,1.12049082924,27.5922802105,-3.0
1141.0,92.358577752,1.40880425899,28.4245763076,-4.0
1168.0,92.3015753475,1.67789679342,29.3034809861,-4.0
1195.0,92.2635737445,1.87971619424,30.1823856647,-4.0
1223.0,92.358577752,2.11036693803,31.0013650242,-3.0
1251.0,92.3395769505,2.39868036778,31.394208782,-3.0
1277.0,92.2635737445,2.84076096006,31.3009916191,-3.0
1305.0,92.3015753475,3.29245199999,30.6817633229,-4.0
1332.0,92.3300765498,3.66725945866,29.8361504883,-4.0
1360.0,92.3300765498,3.96518333607,28.8840037532,-3.0
1388.0,92.2635737445,4.13817139391,28.0184158122,-4.0
1415.0,92.3300765498,4.13817139391,26.9064682265,-4.0
1443.0,92.3490773513,4.16700273689,25.701303478,-3.0
1470.0,92.2730741453,4.19583407986,24.5161138357,-3.0
1497.0,92.282574546,4.26310721347,23.2044151867,-3.0
1525.0,92.2920749468,4.33999079474,21.6729903681,-3.0
1553.0,92.3490773513,4.3015490041,20.1016153368,-3.0
1579.0,92.2730741453,4.1862236322,19.0629098076,-4.0
1607.0,92.3490773513,4.04206691733,17.9043536405,-4.0
1634.0,92.2635737445,3.76336393524,17.1120077561,-4.0
1661.0,92.282574546,3.48466095316,16.3462953467,-3.0
1689.0,92.3490773513,3.08102215151,15.5006825121,-3.0
1716.0,92.3110757483,2.73504603582,14.6417529399,-3.0
1744.0,92.282574546,2.45634305373,13.8294319492,-4.0
1772.0,92.3015753475,2.14880872867,12.9238937955,-3.0
1798.0,92.282574546,1.8412744036,11.7853127347,-3.0
1826.0,92.244572943,1.56257142152,10.5135642984,-4.0
1854.0,92.320576149,1.23581620114,9.12196522404,-3.0
1881.0,92.320576149,0.909060980759,8.09657643244,-4.0
1909.0,92.3015753475,0.53425352209,6.9646537404,-5.0
1937.0,92.3300765498,0.130614720446,6.03914048044,-4.0
1963.0,92.3015753475,-0.263413633541,5.42657055299,-3.0
1991.0,92.2730741453,-0.695883778159,4.86060920697,-4.0
2018.0,92.3395769505,-1.0995225798,4.50771566181,-3.0
2044.0,92.3110757483,-1.48394048613,4.40784013016,-4.0
2072.0,92.3015753475,-1.82991660183,4.54766587447,-3.0
2098.0,92.3490773513,-2.12784047923,4.80068388798,-3.0
2125.0,92.2730741453,-2.41615390898,5.02706842639,-3.0
2152.0,92.3680781528,-2.53147928088,5.27342807113,-4.0
2178.0,92.3015753475,-2.51225838556,5.366645234,-4.0
2206.0,92.3300765498,-2.39693301366,5.35998686522,-3.0
2233.0,92.3110757483,-2.33927032771,5.18686927703,-4.0
2259.0,92.2730741453,-2.31043898474,4.79402551921,-3.0
2287.0,92.3490773513,-2.34888077537,4.5676409808,-3.0
2313.0,92.320576149,-2.44498525195,4.57429934957,-3.0
2340.0,92.3110757483,-2.56992107151,4.88724268208,-3.0
2367.0,92.3015753475,-2.72368823404,5.57305466608,-3.0
2394.0,92.3680781528,-2.87745539657,6.80485288976,-3.0
2421.0,92.3490773513,-3.02161211144,8.20311033286,-3.0
2449.0,92.320576149,-3.0312225591,9.96757805868,-3.0
2476.0,92.2920749468,-3.02161211144,11.6388286216,-4.0
2504.0,92.3015753475,-2.90628673954,13.2035452841,-3.0
2531.0,92.3490773513,-2.64680465277,14.8881125846,-4.0
2558.0,92.2635737445,-2.31043898474,16.0266936455,-4.0
2586.0,92.2540733438,-2.07017779328,16.9455485366,-4.0
2613.0,92.3490773513,-1.79147481119,17.9043536405,-5.0
2640.0,92.2730741453,-1.40705690487,18.4769733553,-3.0
2668.0,92.2730741453,-1.13796437044,19.1161767578,-3.0
2695.0,92.3015753475,-0.916924074298,19.7487217916,-4.0
2723.0,92.2540733438,-0.74393601645,20.5277509385,-3.0
2751.0,92.3395769505,-0.609389749236,21.7195989495,-4.0
2777.0,92.320576149,-0.455622586705,22.9647139107,-3.0
2805.0,92.3490773513,-0.186530052275,24.3762880914,-4.0
2832.0,92.2635737445,0.0345102438635,25.701303478,-3.0
2859.0,92.2540733438,0.255550540002,27.0662690772,-3.0
2887.0,92.358577752,0.649578893988,28.2847505633,-3.0
