----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,JR
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,2
TIME,15:51:40,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,28.9,C
HUMIDITY,60.1,%
LATITUDE,39.6695,angular degrees
LONGITUDE,-75.7521,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4155801566,0.226719197027,5.69956367283,-7.0
35.0,92.3015753475,0.217108749369,5.29340317746,-7.0
54.0,92.2920749468,0.178666958736,5.04038516394,-8.0
81.0,92.3110757483,0.149835615762,4.77405041288,-8.0
108.0,92.282574546,0.111393825129,4.64754140612,-7.0
135.0,92.3490773513,0.0537311391799,4.69414998755,-8.0
162.0,92.3680781528,0.00567890088894,4.73410020022,-7.0
188.0,92.358577752,-0.0231524420857,4.82731736309,-7.0
215.0,92.3395769505,-0.0615942327184,4.91387615719,-8.0
242.0,92.2635737445,-0.090425575693,4.96048473862,-7.0
268.0,92.3490773513,-0.0808151280348,4.98045984495,-7.0
295.0,92.2635737445,-0.0615942327184,4.90055941963,-8.0
322.0,92.3110757483,-0.0423733374021,4.78070878165,-8.0
349.0,92.358577752,-0.0423733374021,4.70746672511,-8.0
376.0,92.2920749468,-0.0712046803766,4.69414998755,-8.0
402.0,92.3490773513,-0.138477813984,4.72078346266,-7.0
429.0,92.2920749468,-0.205750947591,4.70080835633,-8.0
457.0,92.320576149,-0.224971842908,4.67417488122,-7.0
483.0,92.320576149,-0.196140499933,4.66751651245,-7.0
510.0,92.3490773513,-0.205750947591,4.80068388798,-7.0
536.0,92.282574546,-0.224971842908,4.77405041288,-8.0
564.0,92.3015753475,-0.244192738224,4.74075856899,-8.0
591.0,92.3110757483,-0.176919604617,4.70080835633,-8.0
617.0,92.320576149,-0.090425575693,4.72744183144,-8.0
645.0,92.320576149,-0.0615942327184,4.92719289474,-8.0
672.0,92.3300765498,-0.0423733374021,5.22016112091,-8.0
699.0,92.320576149,-0.00393154676926,5.53976282219,-7.0
726.0,92.3395769505,0.0441206915217,5.8793396298,-8.0
753.0,92.2920749468,0.0729520344963,6.18562459353,-8.0
779.0,92.3015753475,0.0921729298127,6.57180998258,-7.0
807.0,92.2635737445,0.0921729298127,6.92470352774,-8.0
834.0,92.3300765498,0.0729520344963,7.35749749822,-8.0
862.0,92.3015753475,0.0152893485471,7.85687515647,-7.0
890.0,92.3300765498,-0.0712046803766,8.66253777845,-9.0
916.0,92.282574546,-0.1576987093,9.57473430086,-8.0
944.0,92.2635737445,-0.282634528857,10.6200981988,-8.0
972.0,92.3015753475,-0.397959900755,11.7986294723,-8.0
999.0,92.282574546,-0.513285272654,12.8839435829,-8.0
1027.0,92.3490773513,-0.599779301577,14.3487847137,-8.0
1055.0,92.3395769505,-0.667052435185,15.800309107,-8.0
1081.0,92.282574546,-0.570947958603,17.2185416565,-8.0
1109.0,92.3300765498,-0.417180796072,18.6833827873,-8.0
1137.0,92.3110757483,-0.224971842908,20.0217149115,-8.0
1164.0,92.3395769505,-0.0135419944275,21.3866805107,-8.0
1191.0,92.2635737445,0.197887854053,22.6784040534,-8.0
1218.0,92.282574546,0.486201283799,23.9301773834,-8.0
1246.0,92.3680781528,0.909060980759,25.1486588695,-7.0
1273.0,92.3490773513,1.29347888709,26.1008056046,-9.0
1300.0,92.3110757483,1.63945500278,27.1661446088,-7.0
1328.0,92.2730741453,2.01426246145,28.1515831878,-8.0
1356.0,92.3395769505,2.4179012631,29.1170466604,-8.0
1382.0,92.282574546,2.79270872177,29.7429333254,-7.0
1410.0,92.3395769505,3.10024304683,30.5485959474,-7.0
1437.0,92.3300765498,3.3597251336,31.3808920445,-9.0
1464.0,92.3680781528,3.58076542974,32.2531383542,-8.0
1492.0,92.3015753475,3.80180572588,33.1320430327,-8.0
1519.0,92.282574546,4.07089826031,33.897755442,-8.0
1546.0,92.2635737445,4.31115945176,34.5103253695,-9.0
1574.0,92.3395769505,4.54181019556,35.1095785594,-7.0
1601.0,92.2540733438,4.77246093935,35.4691304733,-7.0
1629.0,92.3110757483,5.0607743691,35.5357141611,-8.0
1657.0,92.3395769505,5.4740236184,35.122895297,-8.0
1683.0,92.2635737445,5.88727286771,34.2706240935,-8.0
1711.0,92.320576149,6.25246987872,32.6326653745,-8.0
1739.0,92.244572943,6.29091166935,30.7949555921,-7.0
1766.0,92.3395769505,6.35818480296,28.8041033279,-8.0
1793.0,92.2635737445,6.20441764043,27.0662690772,-7.0
1821.0,92.358577752,6.07948182087,25.3950185142,-8.0
1847.0,92.2540733438,5.96415644897,23.9901027024,-9.0
1875.0,92.3300765498,5.80077883878,22.8115714289,-8.0
1902.0,92.3490773513,5.48363406606,21.8327912187,-9.0
1930.0,92.3300765498,5.18571018866,20.9205946963,-7.0
1958.0,92.282574546,4.91661765423,19.9884230676,-8.0
1985.0,92.282574546,4.65713556746,19.0429347013,-8.0
2012.0,92.282574546,4.34960124239,18.0508377536,-7.0
2040.0,92.3395769505,4.03245646967,16.9788403805,-8.0
2067.0,92.3395769505,3.80180572588,15.8402593197,-7.0
2094.0,92.282574546,3.63842811569,14.7216533652,-8.0
2122.0,92.2730741453,3.4750505055,13.3367126597,-7.0
2149.0,92.282574546,3.31167289531,12.104914436,-8.0
2177.0,92.282574546,3.00413857025,10.793215787,-8.0
2205.0,92.244572943,2.64855200689,9.56807593208,-8.0
2232.0,92.3300765498,2.27374454822,8.25637728308,-8.0
2260.0,92.282574546,1.87010574658,7.27093870413,-9.0
2287.0,92.3395769505,1.51451918323,6.44530097582,-8.0
2313.0,92.2540733438,1.16854306753,5.99253189901,-8.0
2341.0,92.3300765498,0.822566951836,5.74617225427,-8.0
2367.0,92.3395769505,0.466980388482,5.6795885665,-8.0
2394.0,92.3110757483,0.0921729298127,5.65961346017,-9.0
2422.0,92.358577752,-0.244192738224,5.84604778592,-9.0
2447.0,92.2920749468,-0.522895720312,6.19228296231,-8.0
2475.0,92.3015753475,-0.686273330501,6.55849324502,-7.0
2501.0,92.3490773513,-0.734325568792,6.80485288976,-8.0
2529.0,92.3300765498,-0.695883778159,6.93802026529,-8.0
2557.0,92.3015753475,-0.609389749236,6.9646537404,-8.0
2584.0,92.3015753475,-0.53250616797,6.89141168386,-8.0
2611.0,92.3110757483,-0.474843482021,6.74492757077,-7.0
2639.0,92.3490773513,-0.494064377337,6.70497735811,-7.0
2666.0,92.3300765498,-0.570947958603,6.91804515896,-8.0
2694.0,92.3395769505,-0.840040493032,7.57056529908,-7.0
2721.0,92.2730741453,-1.0995225798,8.57597898436,-7.0
2748.0,92.282574546,-1.34939421892,9.94094458357,-8.0
2776.0,92.3395769505,-1.5608240674,11.8319213161,-7.0
2803.0,92.3015753475,-1.7434225729,13.596389042,-8.0
2830.0,92.3015753475,-1.82991660183,15.4940241433,-7.0
2858.0,92.3490773513,-1.77225391588,17.7711862649,-8.0
2885.0,92.3110757483,-1.61848675335,19.7154299477,-8.0
