----------META DATA----------
SOFTWARE VERSION,1.0.9
DEVICE OPERATOR,JR
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:43,UTC
PLOT,0,#
HEIGHT,64,cm
TEMPERATURE,30.7,C
HUMIDITY,55.9,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,150.1869352,0.0,N,692090
LOAD_Y,1.0,0.0,N,NONE
IMU,1.0405342555994728,26.294090909090908,DEG,IMU.CAL
POT,-105.25871761089151,9728.545454545452,DEG,POT.CAL
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,92.4250805573,-0.542116615628,4.71412509388,-7.0
35.0,92.3015753475,-0.513285272654,5.00043495128,-7.0
53.0,92.3300765498,-0.503674824996,5.1668941707,-7.0
80.0,92.320576149,-0.474843482021,5.2800864399,-8.0
107.0,92.2730741453,-0.446012139046,5.39327870911,-7.0
133.0,92.3490773513,-0.42679124373,5.51312934709,-8.0
159.0,92.2920749468,-0.388349453097,5.53976282219,-8.0
185.0,92.320576149,-0.388349453097,5.53310445342,-8.0
212.0,92.2920749468,-0.388349453097,5.51978771586,-7.0
239.0,92.2540733438,-0.388349453097,5.63297998507,-7.0
265.0,92.3680781528,-0.397959900755,5.64629672262,-8.0
291.0,92.2920749468,-0.397959900755,5.62632161629,-7.0
317.0,92.282574546,-0.417180796072,5.55973792852,-8.0
344.0,92.282574546,-0.446012139046,5.27342807113,-7.0
371.0,92.2540733438,-0.484453929679,5.09365211416,-6.0
397.0,92.3300765498,-0.503674824996,4.8539508382,-8.0
424.0,92.282574546,-0.522895720312,4.68749161878,-8.0
451.0,92.2920749468,-0.522895720312,4.49439892425,-7.0
476.0,92.3110757483,-0.494064377337,4.1947723293,-7.0
503.0,92.3395769505,-0.484453929679,4.05494658499,-7.0
529.0,92.358577752,-0.474843482021,3.98170452845,-8.0
555.0,92.282574546,-0.484453929679,4.14150537909,-7.0
582.0,92.3015753475,-0.503674824996,4.42115686771,-8.0
608.0,92.2920749468,-0.53250616797,4.98711821373,-7.0
635.0,92.282574546,-0.619000196894,5.51978771586,-7.0
662.0,92.3395769505,-0.753546464109,6.13235764332,-7.0
687.0,92.3680781528,-0.916924074298,6.97131210918,-8.0
714.0,92.3110757483,-1.0995225798,8.14318501387,-7.0
740.0,92.244572943,-1.26290018999,9.45488366288,-7.0
768.0,92.3300765498,-1.41666735252,11.3125685516,-8.0
795.0,92.2920749468,-1.55121361974,12.9438689019,-7.0
822.0,92.3490773513,-1.59926585803,14.8415040032,-7.0
848.0,92.2730741453,-1.53199272442,16.8922815864,-8.0
876.0,92.3395769505,-1.29173153297,18.7166746312,-7.0
902.0,92.244572943,-1.01302855088,20.0882985992,-8.0
929.0,92.2730741453,-0.705494225818,21.8261328499,-9.0
956.0,92.3015753475,-0.263413633541,23.5439919943,-8.0
983.0,92.2635737445,0.245940092344,24.4362134104,-7.0
1010.0,92.2730741453,0.812956504178,25.7745455345,-9.0
1037.0,92.2350725423,1.44724604962,26.5802081565,-8.0
1064.0,92.3680781528,1.98543111848,27.1528278713,-7.0
1091.0,92.2730741453,2.49478484436,27.4857463101,-8.0
1118.0,92.2730741453,2.90803409366,27.3725540409,-8.0
1145.0,92.358577752,3.32128334297,27.3525789346,-7.0
1171.0,92.2350725423,3.70570124929,27.2926536156,-8.0
1198.0,92.3490773513,4.07089826031,27.1461695025,-8.0
1225.0,92.320576149,4.46492661429,26.9397600704,-8.0
1252.0,92.3015753475,5.09921615973,26.2739231928,-8.0
1279.0,92.358577752,5.76233704815,25.5415026273,-7.0
1306.0,92.3300765498,6.44467883188,24.775790218,-7.0
1332.0,92.3680781528,6.88675942416,23.9834443336,-8.0
1359.0,92.2730741453,7.11741016795,23.1511482365,-8.0
1387.0,92.320576149,7.19429374922,22.0791508635,-8.0
1413.0,92.282574546,7.23273553985,20.8873028524,-8.0
1440.0,92.3680781528,7.16546240625,19.8219638482,-7.0
1466.0,92.3395769505,7.1077997203,18.8897922194,-8.0
1493.0,92.2730741453,7.08857882498,18.0042291721,-8.0
1521.0,92.3490773513,7.00208479606,16.8789648489,-8.0
1546.0,92.282574546,6.74260270929,15.9934018016,-7.0
1574.0,92.3680781528,6.38701614593,15.3941486117,-7.0
1601.0,92.3300765498,6.09870271619,14.7948954218,-8.0
1627.0,92.3110757483,5.72389525752,14.3021761323,-8.0
1655.0,92.3490773513,5.37791914182,13.476538404,-8.0
1681.0,92.3015753475,5.02233257847,12.7774096824,-7.0
1708.0,92.282574546,4.66674601511,11.9451135854,-7.0
1735.0,92.3490773513,4.33999079474,10.8265076309,-7.0
1761.0,92.3680781528,4.02284602202,9.75451025783,-7.0
1788.0,92.320576149,3.62881766803,8.52937040292,-7.0
1815.0,92.2920749468,3.22517886639,7.41742281721,-8.0
1842.0,92.3395769505,2.77348782645,6.30547523151,-7.0
1868.0,92.320576149,2.36023857715,5.2800864399,-8.0
1894.0,92.3300765498,1.93737888019,4.44113197404,-7.0
1921.0,92.282574546,1.52412963088,3.80858694026,-7.0
1948.0,92.3015753475,1.10126993392,3.12277495626,-8.0
1974.0,92.3110757483,0.688020684621,2.42364623471,-7.0
2001.0,92.2635737445,0.293992330635,1.93758531401,-8.0
2028.0,92.3300765498,-0.148088261642,1.49147460597,-7.0
2054.0,92.3680781528,-0.609389749236,1.24511496124,-8.0
2080.0,92.3395769505,-1.0322494462,1.09197247937,-8.0
2105.0,92.3490773513,-1.39744645721,1.10528921693,-8.0
2132.0,92.2730741453,-1.73381212524,1.19184801102,-9.0
2159.0,92.3300765498,-2.03173600265,1.50479134353,-7.0
2185.0,92.3300765498,-2.22394495581,1.77778446337,-7.0
2211.0,92.2540733438,-2.32004943239,1.997510633,-7.0
2237.0,92.3395769505,-2.32004943239,2.13067800854,-8.0
2264.0,92.2920749468,-2.19511361284,2.27716212162,-8.0
2291.0,92.3015753475,-2.06056734562,2.27716212162,-8.0
2317.0,92.3300765498,-1.96446286904,2.19060332753,-7.0
2343.0,92.2920749468,-1.86835839246,2.03746084566,-7.0
2370.0,92.3395769505,-1.80108525885,1.95756042034,-7.0
2396.0,92.3300765498,-1.76264346822,1.89763510135,-7.0
2423.0,92.3110757483,-1.78186436354,1.83770978236,-7.0
2449.0,92.3015753475,-1.79147481119,1.83770978236,-8.0
2475.0,92.3015753475,-1.81069570651,1.93092694524,-7.0
2502.0,92.3300765498,-1.9740733167,2.22389517141,-6.0
2528.0,92.3015753475,-2.19511361284,2.59010545413,-8.0
2555.0,92.282574546,-2.45459569961,3.30920928201,-7.0
2582.0,92.3300765498,-2.75251957701,4.60093282468,-8.0
2608.0,92.3395769505,-2.97355987315,6.03914048044,-8.0
2634.0,92.282574546,-3.15615837866,7.33086402312,-8.0
2661.0,92.358577752,-3.21382106461,9.02874806117,-7.0
2688.0,92.3395769505,-3.19460016929,10.5868063549,-7.0
2715.0,92.282574546,-3.05044345442,12.1382062799,-8.0
2741.0,92.320576149,-2.76213002467,13.9426242184,-7.0
2768.0,92.3490773513,-2.35849122303,15.6271915189,-8.0
2795.0,92.3490773513,-1.90680018309,17.4182927198,-8.0
2821.0,92.2730741453,-1.52238227676,18.7899166878,-8.0
