----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,31
TIME,18:46:16,UTC
PLOT,123456789,#
HEIGHT,60,cm
TEMPERATURE,22.2,C
HUMIDITY,45.5,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,7.0,32.91,0.626460107581,-0.0499886355479
166.0,7.04807692308,33.06,0.606251717014,-0.0571298691976
183.0,7.01923076923,33.08,0.606251717014,-0.0499886355479
203.0,7.04807692308,33.09,0.586043326447,-0.0499886355479
231.0,7.03846153846,33.13,0.619723977392,-0.0499886355479
258.0,7.06730769231,33.18,0.680349149094,-0.0499886355479
287.0,7.08653846154,33.2,0.700557539661,-0.0499886355479
315.0,7.02884615385,33.2,0.714029800039,-0.0499886355479
343.0,7.11538461538,33.18,0.794863362308,-0.0499886355479
371.0,7.13461538462,33.13,0.808335622686,-0.0571298691976
399.0,7.13461538462,33.07,0.84875240382,-0.0499886355479
427.0,7.34615384615,32.99,0.970002747223,-0.0499886355479
455.0,7.43269230769,32.89,1.12493374157,-0.0499886355479
484.0,7.70192307692,32.76,1.30007312649,-0.0571298691976
511.0,7.79807692308,32.66,1.48194864159,-0.0571298691976
539.0,7.93269230769,32.57,1.67056028688,-0.0571298691976
568.0,8.10576923077,32.45,1.85243580199,-0.0499886355479
595.0,8.27884615385,32.35,2.03431131709,-0.0571298691976
624.0,8.58653846154,32.39,2.2768120039,-0.0499886355479
652.0,8.66346153846,32.48,2.59341012278,-0.0499886355479
680.0,8.79807692308,32.6,2.86959146053,-0.0499886355479
708.0,8.99038461538,32.77,3.20639796999,-0.0499886355479
735.0,9.20192307692,32.95,3.49605156812,-0.0499886355479
764.0,9.41346153846,33.2,3.76549677568,-0.0571298691976
792.0,9.72115384615,33.45,3.98778907192,-0.0499886355479
820.0,9.78846153846,33.7,4.27744267005,-0.0571298691976
848.0,10.0,33.94,4.60751304931,-0.0428474018982
877.0,10.2115384615,34.19,4.93758342857,-0.0571298691976
904.0,10.4615384615,34.47,5.24070928708,-0.0499886355479
932.0,10.6634615385,34.77,5.60446031729,-0.0499886355479
961.0,11.0096153846,35.08,5.92779456636,-0.0571298691976
988.0,11.3557692308,35.38,6.22418429468,-0.0428474018982
1017.0,11.5576923077,35.66,6.57446306451,-0.0428474018982
1045.0,11.8846153846,35.95,6.87085279283,-0.0499886355479
1073.0,12.0865384615,36.26,7.26154834379,-0.0571298691976
1102.0,12.3942307692,36.63,7.64550776457,-0.0499886355479
1131.0,12.5961538462,36.95,8.0564117061,-0.0571298691976
1159.0,12.7788461538,37.31,8.44710725707,-0.0571298691976
1188.0,12.9615384615,37.72,8.83780280803,-0.0499886355479
1217.0,13.1634615385,38.11,9.19481770805,-0.0571298691976
1245.0,13.3365384615,38.36,9.49794356656,-0.0571298691976
1274.0,13.6538461538,38.65,9.9021113779,-0.0499886355479
1302.0,13.8461538462,39.18,10.3130153194,-0.0571298691976
1330.0,14.0961538462,39.6,10.7171831308,-0.0499886355479
1359.0,14.2884615385,39.87,11.1146148119,-0.0499886355479
1388.0,14.6826923077,40.22,11.4581574516,-0.0428474018982
1416.0,14.8557692308,40.67,11.7276026591,-0.0499886355479
1445.0,15.1153846154,41.04,11.9835756063,-0.0499886355479
1474.0,15.3173076923,41.36,12.293437595,-0.0499886355479
1502.0,15.6057692308,41.77,12.684133146,-0.0571298691976
1531.0,15.7884615385,42.22,12.9872590045,-0.0499886355479
1560.0,15.9807692308,42.6,13.2095513007,-0.0499886355479
1588.0,16.2211538462,42.98,13.4453158573,-0.0428474018982
1617.0,16.3846153846,43.46,13.5328855498,-0.0499886355479
1646.0,16.5192307692,43.92,13.5598300706,-0.0499886355479
1675.0,16.5961538462,44.33,13.4992048989,-0.0499886355479
1702.0,16.6826923077,44.8,13.4992048989,-0.0571298691976
1731.0,16.8653846154,45.25,13.4048990762,-0.0642711028473
1759.0,16.8653846154,45.75,13.3308016441,-0.0499886355479
1788.0,16.7980769231,46.15,13.2499680819,-0.0499886355479
1817.0,16.8269230769,46.48,13.0344119158,-0.0499886355479
1846.0,16.4519230769,46.68,12.6369802347,-0.0571298691976
1874.0,16.0576923077,46.73,12.1317704705,-0.0499886355479
1903.0,16.0,46.78,11.6130884459,-0.0499886355479
1932.0,15.8942307692,46.78,11.0203089893,-0.0499886355479
1960.0,15.8942307692,46.71,10.6363495685,-0.0571298691976
1989.0,15.9230769231,46.57,10.2725985383,-0.0499886355479
2018.0,15.8942307692,46.38,9.91558363828,-0.0499886355479
2046.0,15.7403846154,46.22,9.58551325902,-0.0428474018982
2075.0,15.6634615385,46.05,9.22176222881,-0.0499886355479
2103.0,15.4423076923,45.82,8.9186363703,-0.0499886355479
2131.0,15.3076923077,45.59,8.61551051179,-0.0499886355479
2160.0,15.1730769231,45.38,8.17092591932,-0.0428474018982
2189.0,15.1057692308,45.12,7.72634132684,-0.0571298691976
2217.0,15.0192307692,44.82,7.36259029663,-0.0499886355479
2246.0,14.8365384615,44.52,6.99883926642,-0.0499886355479
2275.0,14.5865384615,44.25,6.69571340791,-0.0499886355479
2302.0,14.4423076923,43.96,6.41953207016,-0.0428474018982
2331.0,14.3365384615,43.64,6.19723977392,-0.0499886355479
2359.0,14.1442307692,43.35,5.86716939466,-0.0499886355479
2387.0,13.9807692308,43.07,5.5977241871,-0.0499886355479
2415.0,13.8846153846,42.79,5.34175123992,-0.0499886355479
2444.0,13.7884615385,42.53,5.03862538141,-0.0499886355479
2471.0,13.5480769231,42.29,4.77591630404,-0.0499886355479
2499.0,13.3942307692,42.05,4.5536240078,-0.0499886355479
2527.0,13.2307692308,41.79,4.28417880023,-0.0428474018982
2555.0,13.1153846154,41.49,4.02146972286,-0.0428474018982
2584.0,12.9615384615,41.22,3.81938581719,-0.0499886355479
2611.0,12.8173076923,40.96,3.61056578133,-0.0499886355479
2640.0,12.6826923077,40.71,3.38827348509,-0.0499886355479
2668.0,12.625,40.44,3.1996618398,-0.0499886355479
2695.0,12.3846153846,40.16,2.98410567375,-0.0499886355479
2724.0,12.3461538462,39.88,2.76181337751,-0.0499886355479
2752.0,12.0865384615,39.63,2.51257656051,-0.0571298691976
2780.0,11.9519230769,39.36,2.30375652465,-0.0571298691976
2808.0,11.6923076923,39.1,2.13535326993,-0.0499886355479
2836.0,11.3942307692,38.85,1.94674162463,-0.0499886355479
2864.0,11.2019230769,38.59,1.77160223972,-0.0499886355479
2892.0,10.9711538462,38.3,1.64361576613,-0.0499886355479
2921.0,10.6730769231,38.04,1.43479573027,-0.0499886355479
2948.0,10.5384615385,37.76,1.24618408497,-0.0499886355479
2977.0,10.2211538462,37.49,1.03736404911,-0.0499886355479
3005.0,10.0,37.23,0.855488534009,-0.0499886355479
3032.0,9.88461538462,36.93,0.70729366985,-0.0499886355479
3061.0,9.76923076923,36.6,0.572571066069,-0.0499886355479
3089.0,9.64423076923,36.26,0.437848462288,-0.0428474018982
3116.0,9.38461538462,35.97,0.330070379263,-0.0499886355479
3144.0,9.23076923077,35.69,0.21555616605,-0.0499886355479
3172.0,9.13461538462,35.4,0.00673613018905,-0.0571298691976
3198.0,8.96153846154,35.12,-0.14145873397,-0.0499886355479
3226.0,8.85576923077,34.78,-0.229028426428,-0.0499886355479
3255.0,8.82692307692,34.5,-0.303125858507,-0.0428474018982
3282.0,8.66346153846,34.21,-0.390695550965,-0.0499886355479
3311.0,8.51923076923,33.93,-0.451320722666,-0.0428474018982
3339.0,8.375,33.63,-0.458056852855,-0.0571298691976
3366.0,8.31730769231,33.22,-0.471529113233,-0.0571298691976
3395.0,8.24038461538,32.8,-0.485001373611,-0.0571298691976
3422.0,8.28846153846,32.42,-0.471529113233,-0.0499886355479
3451.0,8.17307692308,32.09,-0.431112332099,-0.0571298691976
3479.0,8.16346153846,31.75,-0.42437620191,-0.0499886355479
3507.0,8.16346153846,31.46,-0.410903941532,-0.0571298691976
3535.0,8.09615384615,31.34,-0.35027876983,-0.0571298691976
3563.0,8.23076923077,31.39,-0.296389728318,-0.0499886355479
3591.0,8.51923076923,31.46,-0.28291746794,-0.0571298691976
3619.0,8.72115384615,31.53,-0.188611645293,-0.0571298691976
3648.0,8.86538461538,31.65,-0.0673613018905,-0.0499886355479
3675.0,8.76923076923,31.78,0.0538890415124,-0.0499886355479
3703.0,8.79807692308,31.87,0.168403254726,-0.0499886355479
3730.0,8.75,31.94,0.28291746794,-0.0571298691976
3757.0,8.75961538462,32.05,0.363751030209,-0.0499886355479
3785.0,8.71153846154,32.14,0.383959420776,-0.0571298691976
3813.0,8.69230769231,32.18,0.417640071721,-0.0499886355479
3840.0,8.69230769231,32.2,0.552362675502,-0.0499886355479
3868.0,8.67307692308,32.31,0.693821409472,-0.0499886355479
3896.0,8.77884615385,32.42,0.862224664198,-0.0428474018982
3924.0,8.79807692308,32.48,1.03062791892,-0.0499886355479
3952.0,8.79807692308,32.51,1.23944795478,-0.0499886355479
3981.0,8.85576923077,32.54,1.37417055857,-0.0499886355479
4008.0,9.01923076923,32.54,1.54930994348,-0.0428474018982
4037.0,9.11538461538,32.55,1.74465771896,-0.0499886355479
4065.0,9.25961538462,32.62,1.9669500152,-0.0499886355479
4092.0,9.375,32.69,2.20945070201,-0.0428474018982
4121.0,9.56730769231,32.73,2.42500686806,-0.0499886355479
4148.0,9.76923076923,32.84,2.70118820581,-0.0499886355479
4177.0,9.88461538462,33.02,2.90327211148,-0.0499886355479
4205.0,10.125,33.22,3.09861988696,-0.0499886355479
4232.0,10.3076923077,33.38,3.32764831339,-0.0499886355479
4261.0,10.5961538462,33.64,3.61730191152,-0.0571298691976
4289.0,10.9230769231,33.97,3.92042777003,-0.0499886355479
4317.0,11.1826923077,34.29,4.19660910778,-0.0428474018982
4345.0,11.4903846154,34.5,4.4929988361,-0.0571298691976
4374.0,11.7788461538,34.79,4.82980534555,-0.0499886355479
4401.0,12.0288461538,35.23,5.17334798519,-0.0428474018982
4429.0,12.2403846154,35.65,5.48994610407,-0.0499886355479
4458.0,12.4615384615,36.04,5.84696100409,-0.0571298691976
4485.0,12.6634615385,36.4,6.22418429468,-0.0428474018982
4514.0,12.8461538462,36.76,6.520574023,-0.0499886355479
4542.0,13.0673076923,37.09,6.81696375132,-0.0499886355479
4570.0,13.2692307692,37.45,7.21439543247,-0.0499886355479
4599.0,13.5096153846,37.85,7.61182711362,-0.0499886355479
4628.0,13.9230769231,38.23,8.0564117061,-0.0499886355479
4656.0,14.0576923077,38.65,8.46057951744,-0.0499886355479
4685.0,14.3365384615,39.13,8.87821958917,-0.0499886355479
4714.0,14.4423076923,39.58,9.27565127032,-0.0499886355479
4742.0,14.7211538462,39.96,9.61245777977,-0.0499886355479
4771.0,15.0,40.31,9.98294494017,-0.0499886355479
