----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:48,UTC
PLOT,123456789,#
HEIGHT,60,cm
TEMPERATURE,22.2,C
HUMIDITY,41.9,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.2211538462,36.02,0.78139110193,-0.0499886355479
35.0,12.1730769231,36.03,0.835280143442,-0.0499886355479
56.0,12.2115384615,36.05,0.855488534009,-0.0499886355479
84.0,12.3076923077,36.07,0.862224664198,-0.0499886355479
113.0,12.2788461538,36.08,0.84875240382,-0.0571298691976
140.0,12.1538461538,36.1,0.788127232119,-0.0499886355479
169.0,12.1346153846,36.12,0.693821409472,-0.0499886355479
197.0,12.1057692308,36.11,0.612987847203,-0.0428474018982
224.0,12.0673076923,36.1,0.538890415124,-0.0428474018982
252.0,12.0384615385,36.05,0.491737503801,-0.0428474018982
280.0,12.1153846154,35.97,0.599515586825,-0.0499886355479
307.0,12.0192307692,35.85,0.808335622686,-0.0499886355479
335.0,12.0288461538,35.78,0.943058226467,-0.0571298691976
364.0,12.1442307692,35.76,1.05083630949,-0.0571298691976
391.0,12.2403846154,35.83,1.23944795478,-0.0571298691976
419.0,12.3557692308,35.71,1.26639247554,-0.0499886355479
447.0,12.3557692308,35.69,1.46174025102,-0.0499886355479
475.0,12.4230769231,35.65,1.64361576613,-0.0499886355479
504.0,12.4230769231,35.62,1.76486610953,-0.0499886355479
531.0,12.4807692308,35.61,2.06125583785,-0.0499886355479
559.0,12.5,35.58,2.20945070201,-0.0428474018982
588.0,12.625,35.55,2.48563203976,-0.0428474018982
615.0,12.8076923077,35.56,2.77528563789,-0.0499886355479
644.0,12.7980769231,35.62,2.96389728318,-0.0499886355479
672.0,12.9230769231,35.7,3.21987023036,-0.0499886355479
700.0,13.0769230769,35.79,3.65098256246,-0.0499886355479
728.0,13.25,35.89,3.94063616059,-0.0499886355479
756.0,13.3846153846,36.02,4.23028975872,-0.0499886355479
784.0,13.6442307692,36.21,4.48626270591,-0.0428474018982
812.0,13.8173076923,36.45,5.00494473046,-0.0571298691976
841.0,13.9615384615,36.72,5.33501510973,-0.0499886355479
868.0,14.1442307692,36.96,5.79307196258,-0.0499886355479
897.0,14.3942307692,37.18,6.19723977392,-0.0499886355479
925.0,14.5865384615,37.48,6.60140758527,-0.0499886355479
952.0,14.75,37.83,7.09988121926,-0.0499886355479
981.0,14.9615384615,38.1,7.5040490306,-0.0499886355479
1010.0,15.2403846154,38.36,7.96884201364,-0.0499886355479
1038.0,15.375,38.61,8.33932917404,-0.0499886355479
1067.0,15.6153846154,38.85,8.73002472501,-0.0499886355479
1096.0,15.8269230769,38.96,9.21502609862,-0.0499886355479
1124.0,16.0384615385,39.13,9.68655521185,-0.0499886355479
1153.0,16.3653846154,39.44,10.1446120647,-0.0499886355479
1182.0,16.5769230769,39.71,10.6161411779,-0.0499886355479
1210.0,16.8942307692,39.95,11.1685038534,-0.0499886355479
1239.0,17.2019230769,40.23,11.5726716648,-0.0499886355479
1268.0,17.4903846154,40.58,12.0172562573,-0.0499886355479
1296.0,17.7403846154,40.97,12.4685769799,-0.0499886355479
1324.0,18.0288461538,41.3,12.8188557498,-0.0499886355479
1353.0,18.3076923077,41.77,13.2028151705,-0.0499886355479
1381.0,18.6442307692,42.25,13.6204552423,-0.0428474018982
1410.0,18.9423076923,42.63,14.0650398347,-0.0499886355479
1439.0,19.2307692308,43.04,14.4624715159,-0.0499886355479
1467.0,19.5769230769,43.47,14.9340006291,-0.0499886355479
1496.0,19.9134615385,43.87,15.4190020027,-0.0499886355479
1525.0,20.2211538462,44.21,15.8837949858,-0.0428474018982
1553.0,20.4519230769,44.65,16.3822686198,-0.0499886355479
1582.0,20.7307692308,45.05,16.8470616028,-0.0571298691976
1611.0,20.9038461538,45.34,17.1906042425,-0.0571298691976
1639.0,21.0288461538,45.63,17.6082443142,-0.0499886355479
1668.0,21.2211538462,46.07,17.8978979123,-0.0499886355479
1697.0,21.5384615385,46.46,18.2481766821,-0.0499886355479
1725.0,21.6730769231,46.67,18.5108857595,-0.0499886355479
1753.0,21.9230769231,46.95,18.7399141859,-0.0571298691976
1782.0,22.0288461538,47.25,19.0497761746,-0.0499886355479
1810.0,22.2788461538,47.46,19.3663742935,-0.0428474018982
1839.0,22.4519230769,47.61,19.6762362822,-0.0571298691976
1868.0,22.7019230769,47.87,20.0197789219,-0.0499886355479
1896.0,22.8846153846,48.11,20.3229047804,-0.0571298691976
1925.0,22.9326923077,48.27,20.6866558106,-0.0571298691976
1954.0,23.1826923077,48.51,20.9426287578,-0.0499886355479
1982.0,23.2884615385,48.85,21.1245042729,-0.0499886355479
2011.0,23.375,49.21,21.2322823559,-0.0571298691976
2040.0,23.6442307692,49.53,21.2322823559,-0.0499886355479
2068.0,23.5576923077,49.9,21.0975597521,-0.0499886355479
2097.0,23.5096153846,50.34,20.7876977634,-0.0499886355479
2126.0,23.5673076923,50.68,20.3700576917,-0.0499886355479
2153.0,23.4807692308,50.92,19.7907504954,-0.0499886355479
2182.0,23.0192307692,51.06,19.2316516897,-0.0499886355479
2211.0,22.4423076923,51.08,18.598455452,-0.0499886355479
2239.0,22.3365384615,51.09,18.0460927765,-0.0428474018982
2268.0,22.3365384615,51.03,17.6419249651,-0.0571298691976
2297.0,22.2692307692,50.98,17.2983823255,-0.0428474018982
2325.0,22.1538461538,50.83,16.9817842066,-0.0428474018982
2354.0,22.0480769231,50.73,16.7258112594,-0.0499886355479
2383.0,21.9519230769,50.65,16.3822686198,-0.0499886355479
2412.0,21.8846153846,50.52,15.890531116,-0.0428474018982
2440.0,21.625,50.34,15.4526826537,-0.0499886355479
2469.0,21.5192307692,50.15,14.7588612442,-0.0499886355479
2498.0,21.2980769231,49.96,14.2064985687,-0.0571298691976
2526.0,21.0961538462,49.66,13.6945526743,-0.0499886355479
2554.0,20.9615384615,49.37,13.2364958215,-0.0499886355479
2583.0,20.8269230769,49.11,12.8323280101,-0.0499886355479
2611.0,20.6730769231,48.87,12.4753131101,-0.0499886355479
2640.0,20.5,48.6,12.1654511214,-0.0499886355479
2669.0,20.375,48.31,11.8892697837,-0.0499886355479
2697.0,20.1538461538,48.08,11.6535052271,-0.0571298691976
2726.0,20.0192307692,47.79,11.4514213214,-0.0499886355479
2755.0,19.7884615385,47.49,11.1954483742,-0.0499886355479
2783.0,19.6346153846,47.33,10.8586418647,-0.0428474018982
2812.0,19.4807692308,47.16,10.4544740534,-0.0499886355479
2841.0,19.2403846154,46.79,10.0368339817,-0.0499886355479
2869.0,19.0288461538,46.47,9.53836034769,-0.0499886355479
2898.0,18.8557692308,46.22,9.228498359,-0.0499886355479
2927.0,18.6442307692,45.93,8.84453893822,-0.0571298691976
2954.0,18.5384615385,45.58,8.5481492099,-0.0499886355479
2983.0,18.3076923077,45.3,8.21807883064,-0.0499886355479
3012.0,18.1923076923,45.04,7.92168910232,-0.0428474018982
3040.0,18.1057692308,44.76,7.61182711362,-0.0499886355479
3069.0,18.1057692308,44.53,7.40300707776,-0.0499886355479
3098.0,17.7596153846,44.35,7.14029800039,-0.0499886355479
3126.0,17.5673076923,44.13,6.82369988151,-0.0499886355479
3155.0,17.5576923077,43.91,6.54078241357,-0.0499886355479
3183.0,17.1634615385,43.68,6.22418429468,-0.0499886355479
3211.0,17.0192307692,43.45,5.91432230598,-0.0499886355479
3239.0,16.8653846154,43.2,5.51015449464,-0.0499886355479
3268.0,16.6538461538,42.94,5.26091767765,-0.0499886355479
3295.0,16.5,42.7,4.96452794933,-0.0428474018982
3324.0,16.2788461538,42.41,4.68161048139,-0.0499886355479
3352.0,16.1346153846,42.11,4.4256375342,-0.0499886355479
3379.0,15.875,41.8,4.19660910778,-0.0571298691976
3408.0,15.8173076923,41.52,4.00799746248,-0.0499886355479
3436.0,15.5576923077,41.24,3.76549677568,-0.0499886355479
3464.0,15.375,40.96,3.52973221906,-0.0499886355479
3492.0,15.2019230769,40.69,3.33438444358,-0.0499886355479
3519.0,15.0865384615,40.44,3.11209214734,-0.0499886355479
3548.0,14.9519230769,40.2,2.88306372091,-0.0499886355479
3576.0,14.7788461538,39.9,2.64056303411,-0.0428474018982
3604.0,14.5,39.61,2.36438169636,-0.0571298691976
3632.0,14.3173076923,39.37,2.11514487936,-0.0499886355479
3661.0,14.1826923077,39.1,1.91306097369,-0.0499886355479
3688.0,14.0384615385,38.8,1.7244493284,-0.0499886355479
3716.0,13.9230769231,38.49,1.54257381329,-0.0571298691976
3745.0,13.7115384615,38.22,1.36069829819,-0.0499886355479
3772.0,13.5576923077,37.94,1.21250343403,-0.0499886355479
3801.0,13.4230769231,37.59,1.11819761138,-0.0357061682485
3829.0,13.2403846154,37.23,1.05757243968,-0.0499886355479
3857.0,13.2211538462,36.86,1.03062791892,-0.0499886355479
3885.0,13.125,36.46,1.14514213214,-0.0499886355479
3913.0,13.0961538462,36.0,1.25292021516,-0.0499886355479
3941.0,13.0961538462,35.55,1.45500412083,-0.0499886355479
3969.0,13.0865384615,35.18,1.75139384915,-0.0428474018982
3998.0,13.1057692308,34.98,1.9063248435,-0.0499886355479
4025.0,13.2692307692,34.87,1.9063248435,-0.0428474018982
4053.0,13.5769230769,34.97,1.88611645293,-0.0499886355479
4082.0,13.7019230769,35.11,1.91306097369,-0.0499886355479
4109.0,13.8076923077,35.19,1.89958871331,-0.0499886355479
4138.0,13.75,35.21,1.94000549445,-0.0571298691976
4166.0,13.7211538462,35.27,1.98042227558,-0.0499886355479
4194.0,13.7115384615,35.35,2.07472809823,-0.0428474018982
4222.0,13.6153846154,35.4,2.29702039447,-0.0499886355479
4250.0,13.6826923077,35.49,2.62709077373,-0.0499886355479
4278.0,13.7980769231,35.66,2.99757793413,-0.0571298691976
4306.0,13.8557692308,35.79,3.5701490002,-0.0499886355479
4335.0,14.0480769231,35.85,4.11577554551,-0.0499886355479
4362.0,14.0961538462,35.98,4.6142491795,-0.0428474018982
4391.0,14.2692307692,36.14,5.11272281349,-0.0428474018982
4419.0,14.4230769231,36.21,5.49668223426,-0.0571298691976
4446.0,14.6442307692,36.26,5.7795997022,-0.0499886355479
4475.0,14.875,36.49,5.99515586825,-0.0499886355479
4503.0,15.0,36.75,6.12314234184,-0.0499886355479
4531.0,15.0865384615,36.92,6.29154559657,-0.0499886355479
4559.0,15.2692307692,37.1,6.56099080413,-0.0499886355479
4586.0,15.4807692308,37.39,6.85064440226,-0.0428474018982
4615.0,15.6538461538,37.65,7.14029800039,-0.0499886355479
4644.0,15.9230769231,37.87,7.57814646268,-0.0499886355479
4673.0,16.1634615385,38.21,8.09682848724,-0.0499886355479
4701.0,16.3557692308,38.54,8.64919116274,-0.0499886355479
