----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:48,UTC
PLOT,123456789,#
HEIGHT,60,cm
TEMPERATURE,22.2,C
HUMIDITY,44.1,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,12.6634615385,36.21,1.34048990762,-0.0428474018982
35.0,12.7403846154,36.23,1.36743442838,-0.0571298691976
58.0,12.7115384615,36.21,1.4752125114,-0.0499886355479
86.0,12.8557692308,36.24,1.63687963594,-0.0428474018982
113.0,12.8942307692,36.26,1.8456996718,-0.0499886355479
142.0,13.0,36.26,2.06799196804,-0.0499886355479
170.0,13.1057692308,36.3,2.35764556617,-0.0499886355479
198.0,13.2884615385,36.37,2.63382690392,-0.0499886355479
226.0,13.3365384615,36.45,2.8291746794,-0.0571298691976
255.0,13.5480769231,36.49,3.11882827753,-0.0499886355479
282.0,13.7403846154,36.56,3.36132896433,-0.0571298691976
310.0,13.875,36.68,3.62403804171,-0.0499886355479
339.0,14.0384615385,36.78,3.88674711908,-0.0571298691976
366.0,14.1538461538,36.9,4.21681749834,-0.0499886355479
395.0,14.4134615385,37.06,4.50647109647,-0.0499886355479
423.0,14.6442307692,37.25,4.81633308517,-0.0571298691976
450.0,14.8942307692,37.43,5.166611855,-0.0499886355479
479.0,15.0865384615,37.6,5.58425192672,-0.0499886355479
506.0,15.4326923077,37.8,5.98841973806,-0.0499886355479
535.0,15.6057692308,38.02,6.37237915884,-0.0499886355479
563.0,15.9230769231,38.3,6.83043601169,-0.0642711028473
591.0,16.1923076923,38.57,7.26154834379,-0.0428474018982
620.0,16.4615384615,38.83,7.65224389476,-0.0571298691976
649.0,16.8076923077,39.12,8.06314783629,-0.0499886355479
678.0,17.2019230769,39.45,8.48078790801,-0.0571298691976
706.0,17.5192307692,39.86,9.00620606276,-0.0499886355479
735.0,17.8076923077,40.25,9.33627644202,-0.0499886355479
764.0,18.1730769231,40.67,9.73370812317,-0.0428474018982
792.0,18.4903846154,41.09,10.0435701119,-0.0499886355479
821.0,18.8557692308,41.54,10.3601682308,-0.0499886355479
849.0,19.1826923077,42.0,10.7104470006,-0.0571298691976
877.0,19.6826923077,42.43,11.0741980308,-0.0499886355479
906.0,19.9711538462,42.89,11.4716297119,-0.0499886355479
935.0,20.3365384615,43.36,11.8825336535,-0.0499886355479
963.0,20.5865384615,43.82,12.2799653346,-0.0499886355479
992.0,20.8942307692,44.29,12.7043415365,-0.0499886355479
1021.0,21.1826923077,44.68,13.1287177385,-0.0571298691976
1049.0,21.5,45.03,13.4857326385,-0.0499886355479
1078.0,21.7692307692,45.48,13.9437894913,-0.0499886355479
1107.0,22.0576923077,45.94,14.3075405215,-0.0499886355479
1135.0,22.4326923077,46.31,14.7117083329,-0.0499886355479
1164.0,22.7788461538,46.61,15.0687232329,-0.0571298691976
1193.0,23.0576923077,46.94,15.4324742631,-0.0499886355479
1221.0,23.25,47.34,15.8096975537,-0.0499886355479
1249.0,23.5288461538,47.66,16.1465040631,-0.0499886355479
1278.0,23.6923076923,48.01,16.4563660518,-0.0499886355479
1306.0,24.0384615385,48.41,16.7729641707,-0.0571298691976
1335.0,24.1538461538,48.8,17.0491455085,-0.0499886355479
1363.0,24.3942307692,49.19,17.4128965387,-0.0499886355479
1391.0,24.5673076923,49.64,17.7901198293,-0.0499886355479
1419.0,24.75,50.16,18.0595650368,-0.0571298691976
1447.0,24.875,50.59,18.066301167,-0.0499886355479
1475.0,24.9615384615,51.06,18.0326205161,-0.0499886355479
1503.0,25.0192307692,51.53,17.9046340425,-0.0499886355479
1532.0,25.0480769231,51.95,17.6890778764,-0.0499886355479
1559.0,25.0,52.3,17.4465771896,-0.0499886355479
1588.0,25.0288461538,52.56,17.0558816387,-0.0499886355479
1615.0,24.9230769231,52.67,16.6315054368,-0.0499886355479
1643.0,24.2211538462,52.68,16.1667124537,-0.0571298691976
1672.0,24.0192307692,52.65,15.6615026895,-0.0499886355479
1699.0,23.9230769231,52.52,15.1360845348,-0.0499886355479
1728.0,23.8461538462,52.38,14.6645554216,-0.0499886355479
1756.0,23.875,52.32,14.3142766517,-0.0499886355479
1784.0,23.75,52.25,13.9639978819,-0.0499886355479
1812.0,23.6442307692,52.19,13.5261494196,-0.0499886355479
1841.0,23.4519230769,52.11,13.0276757856,-0.0428474018982
1869.0,23.4038461538,52.0,12.4483685894,-0.0571298691976
1898.0,23.2980769231,51.82,11.8825336535,-0.0428474018982
1927.0,23.1153846154,51.64,11.3705877591,-0.0499886355479
1955.0,22.9903846154,51.35,10.9057947761,-0.0499886355479
1984.0,22.7211538462,51.11,10.4544740534,-0.0571298691976
2013.0,22.5480769231,50.82,10.1244036741,-0.0571298691976
2041.0,22.4519230769,50.53,9.9021113779,-0.0571298691976
2070.0,22.1923076923,50.27,9.66634682128,-0.0428474018982
2099.0,21.7596153846,50.02,9.5316242175,-0.0499886355479
2127.0,21.5961538462,49.64,9.31606805145,-0.0499886355479
2156.0,21.3365384615,49.25,9.10724801559,-0.0571298691976
2185.0,21.1057692308,48.93,8.85127506841,-0.0499886355479
2212.0,20.9230769231,48.65,8.52794081933,-0.0499886355479
2241.0,20.625,48.36,8.11030074761,-0.0428474018982
2270.0,20.4903846154,48.03,7.64550776457,-0.0499886355479
2298.0,20.3653846154,47.74,7.23460382304,-0.0499886355479
2327.0,20.1057692308,47.46,6.74286631924,-0.0499886355479
2356.0,19.9230769231,47.15,6.31849011733,-0.0499886355479
2385.0,19.75,46.84,5.9682113475,-0.0571298691976
2412.0,19.5192307692,46.46,5.69203000975,-0.0571298691976
2440.0,19.1923076923,46.1,5.45626545313,-0.0499886355479
2468.0,19.1057692308,45.85,5.26091767765,-0.0357061682485
2496.0,18.7115384615,45.6,5.14640346443,-0.0499886355479
2525.0,18.4711538462,45.31,5.00494473046,-0.0499886355479
2552.0,18.2980769231,44.97,4.8567498663,-0.0499886355479
2580.0,18.0865384615,44.69,4.71529113233,-0.0499886355479
2609.0,17.9134615385,44.43,4.51320722666,-0.0428474018982
2636.0,17.625,44.1,4.23028975872,-0.0499886355479
2665.0,17.3653846154,43.77,3.94737229078,-0.0571298691976
2693.0,17.2403846154,43.44,3.61056578133,-0.0499886355479
2721.0,16.9038461538,43.1,3.24007862093,-0.0499886355479
2749.0,16.6730769231,42.75,2.94368889261,-0.0499886355479
2777.0,16.5480769231,42.42,2.66750755486,-0.0499886355479
2805.0,16.3653846154,42.09,2.40479847749,-0.0499886355479
2833.0,16.0480769231,41.72,2.17577005106,-0.0499886355479
2862.0,15.8653846154,41.36,2.01410292653,-0.0571298691976
2889.0,15.7211538462,41.1,1.89958871331,-0.0571298691976
2918.0,15.4711538462,40.83,1.75812997934,-0.0499886355479
2946.0,15.3173076923,40.55,1.62340737556,-0.0571298691976
2973.0,15.0673076923,40.28,1.48194864159,-0.0499886355479
3002.0,14.9423076923,40.0,1.31354538686,-0.0499886355479
3030.0,14.6538461538,39.71,1.14514213214,-0.0428474018982
3058.0,14.5096153846,39.39,0.943058226467,-0.0571298691976
3086.0,14.2692307692,39.07,0.761182711362,-0.0499886355479
3114.0,14.1057692308,38.72,0.559098805691,-0.0499886355479
3141.0,14.0,38.41,0.410903941532,-0.0499886355479
3169.0,13.8076923077,38.05,0.296389728318,-0.0499886355479
3197.0,13.7403846154,37.67,0.188611645293,-0.0499886355479
3224.0,13.3942307692,37.3,0.121250343403,-0.0499886355479
3252.0,13.3365384615,36.92,0.0673613018905,-0.0571298691976
3279.0,13.2403846154,36.55,0.0336806509452,-0.0571298691976
3306.0,13.1346153846,36.1,0.00673613018905,-0.0499886355479
3334.0,13.1634615385,35.69,0.0269445207562,-0.0499886355479
3360.0,12.9903846154,35.3,0.0471529113233,-0.0499886355479
3388.0,12.9903846154,34.87,0.101041952836,-0.0499886355479
3416.0,13.0096153846,34.47,0.249236816995,-0.0499886355479
3442.0,12.9807692308,34.22,0.330070379263,-0.0499886355479
3470.0,13.0673076923,34.14,0.397431681154,-0.0571298691976
3498.0,13.4230769231,34.14,0.464792983044,-0.0499886355479
3525.0,13.5673076923,34.08,0.552362675502,-0.0499886355479
3553.0,13.5673076923,34.06,0.666876888716,-0.0499886355479
3581.0,13.5480769231,34.08,0.835280143442,-0.0499886355479
3608.0,13.5769230769,34.17,0.996947267979,-0.0499886355479
3637.0,13.6538461538,34.22,1.25965634535,-0.0499886355479
3665.0,13.8076923077,34.31,1.52236542272,-0.0499886355479
3693.0,14.0096153846,34.37,1.87938032274,-0.0499886355479
3721.0,14.0673076923,34.48,2.24313135295,-0.0571298691976
3750.0,14.2596153846,34.66,2.63382690392,-0.0499886355479
3777.0,14.4230769231,34.86,3.07167536621,-0.0499886355479
3805.0,14.6538461538,35.04,3.46910704736,-0.0428474018982
3833.0,15.0096153846,35.23,3.85306646814,-0.0571298691976
3861.0,15.0769230769,35.58,4.20334523797,-0.0499886355479
3890.0,15.4038461538,35.93,4.54015174742,-0.0499886355479
3917.0,15.6346153846,36.18,4.86348599649,-0.0571298691976
3945.0,15.9423076923,36.46,5.19355637576,-0.0499886355479
3974.0,16.2211538462,36.8,5.54383514559,-0.0499886355479
4001.0,16.5480769231,37.12,5.96147521731,-0.0499886355479
4030.0,16.8076923077,37.42,6.44647659092,-0.0499886355479
4058.0,17.2115384615,37.82,6.95842248529,-0.0571298691976
4086.0,17.5865384615,38.29,7.49731290041,-0.0499886355479
4115.0,17.9038461538,38.68,7.9957865344,-0.0571298691976
4144.0,18.1826923077,39.12,8.40669047593,-0.0571298691976
4172.0,18.5480769231,39.64,8.9186363703,-0.0499886355479
4201.0,19.0,40.13,9.39690161372,-0.0499886355479
4230.0,19.3653846154,40.57,9.86169459677,-0.0499886355479
4258.0,19.6826923077,41.16,10.3871127515,-0.0499886355479
4287.0,20.0961538462,41.79,10.8384334742,-0.0571298691976
4316.0,20.5096153846,42.35,11.2762819365,-0.0499886355479
4343.0,20.9230769231,42.87,11.6669774874,-0.0499886355479
4372.0,21.2307692308,43.45,12.1115620799,-0.0499886355479
4401.0,21.6730769231,44.02,12.5292021516,-0.0428474018982
4429.0,22.0480769231,44.51,12.9805228743,-0.0499886355479
4458.0,22.5384615385,45.1,13.4385797272,-0.0499886355479
4487.0,22.9038461538,45.66,13.9842062725,-0.0499886355479
4515.0,23.2692307692,46.15,14.5702495989,-0.0571298691976
4544.0,23.5865384615,46.64,15.142820665,-0.0499886355479
4573.0,23.7980769231,47.17,15.715391731,-0.0499886355479
4601.0,24.0480769231,47.7,16.2542821462,-0.0499886355479
4629.0,24.3365384615,48.14,16.8942145141,-0.0428474018982
4658.0,24.6634615385,48.56,17.4667855802,-0.0571298691976
4685.0,24.875,49.03,18.2818573331,-0.0499886355479
