----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2080
MONTH,1
DAY,5
TIME,23:59:48,UTC
PLOT,123456789,#
HEIGHT,60,cm
TEMPERATURE,22.3,C
HUMIDITY,44.6,%
LATITUDE,No GPS,angular degrees
LONGITUDE,No GPS,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,8.26923076923,32.82,3.05820310583,-0.0499886355479
18.0,8.25961538462,32.82,3.10535601715,-0.0499886355479
39.0,8.31730769231,32.83,3.24007862093,-0.0499886355479
159.0,8.27884615385,32.93,3.71834386435,-0.0499886355479
176.0,8.30769230769,33.0,3.79917742662,-0.0499886355479
198.0,8.28846153846,33.04,3.89348324927,-0.0499886355479
226.0,8.34615384615,33.08,4.02146972286,-0.0642711028473
254.0,8.30769230769,33.11,4.18987297759,-0.0571298691976
282.0,8.31730769231,33.13,4.37174849269,-0.0499886355479
310.0,8.44230769231,33.13,4.65466596063,-0.0499886355479
338.0,8.56730769231,33.14,4.96452794933,-0.0571298691976
366.0,8.59615384615,33.12,5.29459832859,-0.0499886355479
395.0,8.72115384615,33.12,5.67855774937,-0.0571298691976
422.0,8.78846153846,33.11,6.05578103995,-0.0499886355479
451.0,8.91346153846,33.13,6.49362950224,-0.0571298691976
479.0,9.02884615385,33.16,6.93821409472,-0.0571298691976
507.0,9.25961538462,33.24,7.4434238589,-0.0571298691976
536.0,9.47115384615,33.34,7.96884201364,-0.0499886355479
565.0,9.60576923077,33.45,8.46731564763,-0.0571298691976
593.0,9.78846153846,33.58,9.12745640616,-0.0571298691976
622.0,9.89423076923,33.75,9.68655521185,-0.0499886355479
651.0,10.0769230769,33.97,10.3130153194,-0.0499886355479
678.0,10.3173076923,34.26,10.973156078,-0.0499886355479
707.0,10.5673076923,34.52,11.6265607063,-0.0499886355479
736.0,10.9134615385,34.77,12.2530208139,-0.0499886355479
764.0,11.2596153846,35.07,12.8323280101,-0.0499886355479
793.0,11.5192307692,35.4,13.4385797272,-0.0571298691976
822.0,11.7788461538,35.75,13.9976785328,-0.0499886355479
850.0,12.0,36.1,14.5096244272,-0.0571298691976
879.0,12.2115384615,36.39,14.9946258008,-0.0499886355479
908.0,12.4326923077,36.65,15.4930994348,-0.0571298691976
936.0,12.5480769231,36.91,15.9444201575,-0.0499886355479
965.0,12.7019230769,37.28,16.4698383122,-0.0499886355479
994.0,12.8173076923,37.7,17.0895622896,-0.0499886355479
1022.0,13.0,38.04,17.6082443142,-0.0499886355479
1051.0,13.1346153846,38.29,18.1201902085,-0.0571298691976
1079.0,13.3846153846,38.46,18.4772051086,-0.0571298691976
1107.0,13.5480769231,38.73,18.8409561388,-0.0499886355479
1136.0,13.8846153846,39.08,19.2383878199,-0.0499886355479
1165.0,13.9326923077,39.33,19.6088749803,-0.0428474018982
1193.0,14.1153846154,39.59,19.9995705313,-0.0499886355479
1222.0,14.2211538462,39.97,20.3700576917,-0.0571298691976
1251.0,14.4519230769,40.4,20.7540171125,-0.0499886355479
1279.0,14.5480769231,40.78,20.9628371483,-0.0499886355479
1308.0,14.6923076923,41.12,21.1245042729,-0.0571298691976
1337.0,14.75,41.49,21.2188100955,-0.0571298691976
1365.0,14.9038461538,41.93,21.2255462257,-0.0499886355479
1394.0,14.8076923077,42.31,21.1514487936,-0.0499886355479
1423.0,14.8942307692,42.65,21.0099900596,-0.0499886355479
1451.0,14.875,43.01,20.7136003313,-0.0499886355479
1479.0,14.6730769231,43.36,20.275751869,-0.0428474018982
1508.0,14.2596153846,43.61,19.6829724124,-0.0499886355479
1536.0,14.0769230769,43.78,19.0430400444,-0.0428474018982
1565.0,14.0,43.93,18.2953295935,-0.0499886355479
1594.0,13.9326923077,43.97,17.5745636632,-0.0499886355479
1622.0,13.9134615385,43.9,16.7999086915,-0.0499886355479
1651.0,13.7403846154,43.76,15.964628548,-0.0571298691976
1680.0,13.4711538462,43.58,15.2034458367,-0.0499886355479
1709.0,13.375,43.36,14.3412211725,-0.0499886355479
1737.0,13.1923076923,43.13,13.6878165441,-0.0499886355479
1766.0,13.1057692308,42.88,13.0276757856,-0.0499886355479
1795.0,12.8269230769,42.61,12.293437595,-0.0499886355479
1823.0,12.7307692308,42.26,11.5928800554,-0.0499886355479
1852.0,12.5576923077,41.89,10.8653779949,-0.0499886355479
1881.0,12.3461538462,41.37,10.1782927157,-0.0571298691976
1908.0,12.1442307692,40.85,9.55183260807,-0.0499886355479
1937.0,11.9326923077,40.34,8.99273380238,-0.0571298691976
1966.0,11.75,39.79,8.57509373066,-0.0499886355479
1994.0,11.5961538462,39.25,8.11030074761,-0.0499886355479
2023.0,11.3269230769,38.78,7.57814646268,-0.0499886355479
2052.0,11.1538461538,38.36,7.05946443812,-0.0499886355479
2080.0,10.9903846154,37.84,6.58793532489,-0.0499886355479
2108.0,10.7115384615,37.33,6.25112881544,-0.0571298691976
2137.0,10.7019230769,36.95,5.99515586825,-0.0499886355479
2164.0,10.4134615385,36.67,5.77286357201,-0.0428474018982
2193.0,10.3076923077,36.37,5.48994610407,-0.0499886355479
2221.0,10.1346153846,36.02,5.21376476632,-0.0499886355479
2249.0,10.1730769231,35.74,4.94431955876,-0.0499886355479
2277.0,10.0961538462,35.53,4.74223565309,-0.0428474018982
2304.0,10.0384615385,35.31,4.5536240078,-0.0499886355479
2333.0,9.95192307692,35.06,4.44584592477,-0.0499886355479
2361.0,9.91346153846,34.85,4.41216527383,-0.0499886355479
2389.0,9.875,34.72,4.34480397194,-0.0499886355479
2417.0,9.95192307692,34.42,4.33133171156,-0.0499886355479
2445.0,9.84615384615,34.09,4.39195688326,-0.0571298691976
2473.0,9.84615384615,33.83,4.54015174742,-0.0499886355479
2501.0,9.875,33.58,4.72202726252,-0.0499886355479
2530.0,9.875,33.37,4.92411116819,-0.0499886355479
2557.0,10.0096153846,33.34,5.01168086065,-0.0499886355479
2586.0,10.2692307692,33.4,5.13293120405,-0.0499886355479
2614.0,10.5673076923,33.43,5.30133445878,-0.0499886355479
2641.0,10.5673076923,33.45,5.55730740596,-0.0428474018982
2670.0,10.6057692308,33.46,5.90085004561,-0.0499886355479
2698.0,10.5769230769,33.52,6.23765655506,-0.0428474018982
2726.0,10.4134615385,33.59,6.54078241357,-0.0499886355479
2754.0,10.3557692308,33.58,6.78328310037,-0.0571298691976
2783.0,10.3365384615,33.62,7.08640895888,-0.0499886355479
2811.0,10.3365384615,33.73,7.37606255701,-0.0499886355479
2840.0,10.4807692308,33.8,7.74654971741,-0.0428474018982
2869.0,10.5192307692,33.82,8.21807883064,-0.0499886355479
2897.0,10.7115384615,34.0,8.75023311557,-0.0428474018982
2926.0,10.8461538462,34.18,9.22176222881,-0.0428474018982
2955.0,11.0288461538,34.18,9.62593004015,-0.0499886355479
2983.0,11.2692307692,34.18,10.0705146326,-0.0499886355479
3012.0,11.4326923077,34.42,10.5420437459,-0.0428474018982
3040.0,11.5576923077,34.66,11.080934161,-0.0499886355479
3068.0,11.7788461538,34.9,11.7006581384,-0.0499886355479
3097.0,12.0480769231,35.14,12.3607988969,-0.0571298691976
3126.0,12.2692307692,35.39,12.8727447913,-0.0571298691976
3154.0,12.4519230769,35.68,13.3240655139,-0.0499886355479
3183.0,12.6730769231,35.95,13.8090668875,-0.0499886355479
3212.0,12.7596153846,36.3,14.4153186046,-0.0499886355479
3240.0,12.9711538462,36.64,14.9878896706,-0.0499886355479
3269.0,13.0961538462,36.94,15.6008775178,-0.0499886355479
3298.0,13.3269230769,37.31,16.2812266669,-0.0499886355479
3326.0,13.4615384615,37.71,16.8605338632,-0.0499886355479
3355.0,13.6538461538,38.05,17.3455352368,-0.0499886355479
3384.0,13.8076923077,38.32,17.8035920897,-0.0499886355479
3412.0,14.0,38.66,18.2751212029,-0.0571298691976
3440.0,14.2019230769,39.03,18.7399141859,-0.0428474018982
3469.0,14.3076923077,39.43,19.2114432992,-0.0499886355479
3497.0,14.4519230769,39.78,19.7638059747,-0.0428474018982
3526.0,14.6730769231,40.13,20.2151266973,-0.0499886355479
3555.0,14.6923076923,40.45,20.5923499879,-0.0499886355479
3583.0,14.8365384615,40.72,20.9291564974,-0.0499886355479
3612.0,14.9903846154,40.94,21.1918655747,-0.0571298691976
3641.0,15.0384615385,41.18,21.3535326993,-0.0499886355479
3669.0,15.2115384615,41.45,21.5151998238,-0.0499886355479
3698.0,15.25,41.72,21.663394688,-0.0499886355479
3727.0,15.2596153846,42.05,21.7307559899,-0.0571298691976
3755.0,15.3365384615,42.36,21.6566585578,-0.0571298691976
3784.0,15.2884615385,42.73,21.5017275634,-0.0499886355479
3813.0,15.2211538462,43.04,21.1918655747,-0.0499886355479
3840.0,15.1057692308,43.3,20.8146422842,-0.0428474018982
3869.0,14.7307692308,43.42,20.3835299521,-0.0571298691976
3898.0,14.5961538462,43.51,19.9389453596,-0.0571298691976
3926.0,14.5,43.64,19.4135272048,-0.0499886355479
3955.0,14.5192307692,43.73,18.7197057954,-0.0428474018982
3984.0,14.3653846154,43.84,17.9315785632,-0.0499886355479
4013.0,14.3365384615,43.88,17.069353899,-0.0499886355479
4041.0,14.2884615385,43.9,16.2542821462,-0.0428474018982
4070.0,14.0673076923,43.82,15.5200439556,-0.0499886355479
4099.0,13.9038461538,43.68,14.8262225461,-0.0499886355479
4127.0,13.7403846154,43.45,14.1862901781,-0.0499886355479
4156.0,13.4134615385,43.21,13.4183713366,-0.0428474018982
4185.0,13.1826923077,42.97,12.6639247554,-0.0499886355479
4213.0,12.9711538462,42.6,11.8690613931,-0.0499886355479
4241.0,12.8461538462,42.1,11.1550315931,-0.0571298691976
4270.0,12.6634615385,41.68,10.441001793,-0.0499886355479
4298.0,12.5480769231,41.28,9.73370812317,-0.0499886355479
4327.0,12.3076923077,40.78,9.0398867137,-0.0499886355479
4356.0,12.0576923077,40.31,8.44037112688,-0.0571298691976
4384.0,11.875,39.91,7.82738327967,-0.0499886355479
4413.0,11.5769230769,39.49,7.33564577587,-0.0499886355479
4442.0,11.3365384615,39.01,6.88432505321,-0.0428474018982
4470.0,11.0769230769,38.56,6.31175398714,-0.0499886355479
4498.0,10.8173076923,38.16,5.89411391542,-0.0499886355479
4527.0,10.5673076923,37.74,5.32154284935,-0.0428474018982
4554.0,10.4711538462,37.37,4.76918017385,-0.0499886355479
4583.0,10.1634615385,37.05,4.25723427948,-0.0499886355479
4611.0,10.0,36.75,3.812649687,-0.0499886355479
4638.0,9.81730769231,36.45,3.39500961528,-0.0499886355479
4667.0,9.68269230769,36.17,3.03125858507,-0.0499886355479
4694.0,9.51923076923,35.91,2.65403529448,-0.0499886355479
4723.0,9.25961538462,35.65,2.20945070201,-0.0571298691976
4751.0,9.06730769231,35.32,1.7850745001,-0.0499886355479
4779.0,8.95192307692,34.96,1.38090668875,-0.0571298691976
