----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,31
TIME,19:45:24,UTC
PLOT,2,#
HEIGHT,60,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,39.6705,angular degrees
LONGITUDE,-75.7501,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,13.9423076923,33.7,9.41711000429,-0.0571298691976
34.0,14.1442307692,34.02,10.2928069289,-0.0499886355479
58.0,14.2692307692,34.19,10.7104470006,-0.0499886355479
88.0,14.4326923077,34.41,11.437949061,-0.0499886355479
116.0,14.5480769231,34.67,12.044200778,-0.0571298691976
145.0,14.8076923077,34.98,12.6639247554,-0.0499886355479
175.0,14.9519230769,35.28,13.3240655139,-0.0499886355479
203.0,15.125,35.66,13.6608720234,-0.0499886355479
233.0,15.2596153846,36.01,14.2469153498,-0.0571298691976
262.0,15.4230769231,36.35,14.4422631253,-0.0571298691976
291.0,15.5865384615,36.63,14.9878896706,-0.0499886355479
320.0,15.6538461538,36.98,15.3246961801,-0.0499886355479
349.0,15.7980769231,37.23,15.6008775178,-0.0499886355479
378.0,15.9230769231,37.44,16.0589343707,-0.0428474018982
407.0,15.9326923077,37.73,16.4428937915,-0.0499886355479
437.0,16.25,38.05,16.9683119462,-0.0571298691976
465.0,16.1442307692,38.33,17.3051184557,-0.0499886355479
495.0,16.2403846154,38.68,17.567827533,-0.0499886355479
524.0,16.25,39.07,17.601508184,-0.0428474018982
553.0,16.1826923077,39.49,17.318590716,-0.0499886355479
582.0,16.2211538462,39.95,16.8740061236,-0.0499886355479
611.0,16.0192307692,40.33,16.213865365,-0.0499886355479
640.0,15.8653846154,40.51,15.4594187839,-0.0571298691976
669.0,15.5865384615,40.61,14.7319167234,-0.0499886355479
699.0,15.4903846154,40.72,14.0448314442,-0.0499886355479
728.0,15.4134615385,40.76,13.4992048989,-0.0499886355479
757.0,15.2403846154,40.69,13.0074673951,-0.0499886355479
786.0,14.9711538462,40.58,12.5494105422,-0.0499886355479
815.0,14.8942307692,40.48,12.2058679026,-0.0571298691976
844.0,14.7211538462,40.38,11.8219084818,-0.0428474018982
873.0,14.5769230769,40.27,11.5322548837,-0.0499886355479
903.0,14.4903846154,40.14,11.222392895,-0.0499886355479
931.0,14.25,40.03,10.7508637817,-0.0499886355479
961.0,14.0865384615,39.91,10.1580843251,-0.0499886355479
990.0,13.9423076923,39.79,9.61919390996,-0.0428474018982
1019.0,13.7980769231,39.66,8.79064989671,-0.0571298691976
1048.0,13.6442307692,39.48,8.01599492497,-0.0571298691976
1077.0,13.5576923077,39.17,7.08640895888,-0.0499886355479
1106.0,13.4230769231,38.85,6.17029525317,-0.0428474018982
1135.0,13.3653846154,38.48,5.33501510973,-0.0428474018982
1164.0,13.2884615385,38.1,4.64119370025,-0.0499886355479
1192.0,13.2884615385,37.7,4.04841424362,-0.0499886355479
1221.0,13.125,37.35,3.59035739076,-0.0499886355479
1249.0,13.0576923077,37.04,3.49605156812,-0.0499886355479
1277.0,13.0192307692,36.65,3.1996618398,-0.0571298691976
1306.0,12.9519230769,36.23,3.06493923602,-0.0428474018982
1335.0,12.8269230769,35.85,3.06493923602,-0.0499886355479
1363.0,12.8461538462,35.36,3.12556440772,-0.0499886355479
1392.0,12.7692307692,34.86,3.11882827753,-0.0499886355479
1421.0,12.7884615385,34.39,3.33438444358,-0.0499886355479
1449.0,12.8269230769,33.93,3.52299608887,-0.0499886355479
1478.0,12.9423076923,33.57,3.78570516625,-0.0571298691976
1507.0,12.9711538462,33.43,3.88001098889,-0.0499886355479
1535.0,13.125,33.47,4.00799746248,-0.0499886355479
1564.0,13.2596153846,33.49,4.18987297759,-0.0499886355479
1593.0,13.4519230769,33.48,4.37848462288,-0.0571298691976
1621.0,13.2403846154,33.48,4.51320722666,-0.0499886355479
1650.0,13.1826923077,33.55,4.64792983044,-0.0499886355479
1678.0,13.2307692308,33.59,4.89716664744,-0.0499886355479
1706.0,13.1442307692,33.64,5.23397315689,-0.0499886355479
1735.0,13.2692307692,33.76,5.57751579653,-0.0499886355479
1764.0,13.3846153846,33.9,6.01536425882,-0.0571298691976
1792.0,13.4903846154,34.06,6.60814371546,-0.0571298691976
1821.0,13.7115384615,34.28,7.26828447398,-0.0428474018982
1851.0,13.8173076923,34.51,7.9957865344,-0.0499886355479
1880.0,14.0096153846,34.75,8.68960794387,-0.0499886355479
1908.0,14.1153846154,34.96,9.26217900994,-0.0428474018982
1938.0,14.2788461538,35.19,9.82127781563,-0.0571298691976
1967.0,14.4326923077,35.45,10.5285714855,-0.0499886355479
1996.0,14.5865384615,35.72,10.9798922081,-0.0499886355479
2025.0,14.6730769231,35.95,11.3975322799,-0.0428474018982
2055.0,14.8461538462,36.19,12.0105201271,-0.0499886355479
2083.0,15.0288461538,36.44,12.6302441045,-0.0571298691976
2112.0,15.2115384615,36.72,13.290384863,-0.0499886355479
2142.0,15.2692307692,36.94,13.9707340121,-0.0499886355479
2170.0,15.6057692308,37.18,14.5971941197,-0.0571298691976
2200.0,15.8269230769,37.41,15.1697651857,-0.0428474018982
2229.0,15.9711538462,37.69,15.7558085122,-0.0499886355479
2258.0,16.0673076923,37.96,16.3418518386,-0.0499886355479
2287.0,16.2211538462,38.2,16.8942145141,-0.0499886355479
2317.0,16.3461538462,38.43,17.4331049293,-0.0428474018982
2345.0,16.4807692308,38.7,17.9383146934,-0.0499886355479
2374.0,16.6346153846,39.02,18.4367883274,-0.0499886355479
2404.0,16.7788461538,39.33,18.8409561388,-0.0499886355479
2432.0,16.8942307692,39.68,19.1642903878,-0.0499886355479
2462.0,17.0096153846,40.02,19.4067910746,-0.0499886355479
2491.0,17.1057692308,40.4,19.5751943294,-0.0499886355479
2521.0,17.4230769231,40.79,19.5819304596,-0.0499886355479
2549.0,17.2692307692,41.2,19.5010968973,-0.0428474018982
2578.0,17.2403846154,41.59,19.3798465539,-0.0499886355479
2608.0,17.3173076923,41.94,19.096929086,-0.0499886355479
2636.0,17.0865384615,42.25,18.672552884,-0.0499886355479
2666.0,16.8269230769,42.4,18.2144960312,-0.0499886355479
2695.0,16.6346153846,42.45,17.7564391783,-0.0499886355479
2724.0,16.4230769231,42.51,17.2242848934,-0.0571298691976
2753.0,16.3942307692,42.55,16.6921306085,-0.0499886355479
2783.0,16.2980769231,42.53,16.1195595424,-0.0571298691976
2811.0,16.2115384615,42.44,15.641294299,-0.0499886355479
2840.0,16.0480769231,42.32,15.2303903574,-0.0571298691976
2870.0,15.875,42.18,14.785805765,-0.0499886355479
2898.0,15.6730769231,41.99,14.2805960008,-0.0499886355479
2928.0,15.5,41.78,13.6945526743,-0.0499886355479
2957.0,15.2307692308,41.58,13.0815648271,-0.0499886355479
2986.0,14.9807692308,41.33,12.327118246,-0.0499886355479
3015.0,14.7692307692,41.07,11.6332968365,-0.0499886355479
3044.0,14.6057692308,40.77,10.8990586459,-0.0499886355479
3073.0,14.375,40.47,10.1244036741,-0.0499886355479
3102.0,14.3846153846,40.15,9.3497487024,-0.0642711028473
3132.0,14.1826923077,39.81,8.69634407406,-0.0571298691976
3161.0,14.0192307692,39.47,8.0564117061,-0.0499886355479
3190.0,13.9423076923,39.13,7.4434238589,-0.0499886355479
3219.0,13.9134615385,38.78,6.90453344377,-0.0499886355479
3249.0,13.7980769231,38.43,6.3993236796,-0.0571298691976
3276.0,13.7884615385,38.14,5.92779456636,-0.0499886355479
3305.0,13.8076923077,37.86,5.53036288521,-0.0499886355479
3334.0,13.6538461538,37.56,5.13966733424,-0.0499886355479
3362.0,13.5384615385,37.3,4.74223565309,-0.0499886355479
3391.0,13.4519230769,37.03,4.31785945118,-0.0571298691976
3420.0,13.3653846154,36.79,3.90695550965,-0.0571298691976
3448.0,13.2307692308,36.52,3.59709352095,-0.0571298691976
3477.0,13.1538461538,36.24,3.45563478698,-0.0571298691976
3506.0,13.0673076923,35.88,3.19292570961,-0.0499886355479
3534.0,13.0384615385,35.54,3.02452245488,-0.0499886355479
3563.0,12.9615384615,35.19,2.78875789827,-0.0499886355479
3592.0,12.9903846154,34.76,2.71466046619,-0.0571298691976
3620.0,12.9519230769,34.31,2.79549402845,-0.0499886355479
3649.0,12.9519230769,33.86,2.99757793413,-0.0499886355479
3677.0,13.0384615385,33.49,3.36806509452,-0.0499886355479
3705.0,13.0,33.39,3.64424643227,-0.0499886355479
3734.0,13.2307692308,33.41,3.90695550965,-0.0499886355479
3763.0,13.4230769231,33.47,4.061886504,-0.0499886355479
3791.0,13.5576923077,33.51,4.20334523797,-0.0499886355479
3820.0,13.4711538462,33.55,4.39869301345,-0.0571298691976
3849.0,13.375,33.62,4.51994335685,-0.0499886355479
3877.0,13.4230769231,33.69,4.81633308517,-0.0571298691976
3906.0,13.2692307692,33.79,5.01841699084,-0.0571298691976
3935.0,13.3461538462,33.87,5.2878621984,-0.0428474018982
3963.0,13.4038461538,34.06,5.60446031729,-0.0499886355479
3992.0,13.5865384615,34.27,5.94126682674,-0.0499886355479
4021.0,13.625,34.38,6.32522624752,-0.0499886355479
4049.0,13.9615384615,34.53,6.78328310037,-0.0499886355479
4078.0,13.8173076923,34.75,7.24133995323,-0.0499886355479
4107.0,13.9711538462,34.92,7.66571615514,-0.0571298691976
4136.0,14.125,35.06,8.18439817969,-0.0499886355479
4165.0,14.1826923077,35.24,8.81085828727,-0.0499886355479
4195.0,14.2884615385,35.42,9.2891235307,-0.0499886355479
4223.0,14.3942307692,35.56,9.45079065523,-0.0428474018982
4253.0,14.4903846154,35.72,9.84822233639,-0.0499886355479
4282.0,14.5096153846,35.91,10.3197514496,-0.0499886355479
4310.0,14.6057692308,36.07,10.7845444327,-0.0571298691976
4340.0,14.7884615385,36.19,11.2358651553,-0.0571298691976
4369.0,14.9326923077,36.34,11.8757975233,-0.0571298691976
4399.0,15.1442307692,36.53,12.5898273233,-0.0428474018982
4427.0,15.3557692308,36.64,13.1893429102,-0.0571298691976
4457.0,15.4615384615,36.78,13.8494836687,-0.0499886355479
4486.0,15.6346153846,37.04,14.395110214,-0.0499886355479
4515.0,15.7788461538,37.27,14.9744174103,-0.0428474018982
4544.0,16.0288461538,37.48,15.5267800858,-0.0499886355479
4573.0,16.125,37.74,16.106087282,-0.0499886355479
4602.0,16.3653846154,38.01,16.6247693066,-0.0499886355479
4631.0,16.5480769231,38.23,17.1771319821,-0.0428474018982
4661.0,16.625,38.53,17.6688694859,-0.0571298691976
4689.0,16.8653846154,38.85,18.2414405519,-0.0499886355479
4719.0,17.0,39.12,18.6927612746,-0.0571298691976
4748.0,17.1346153846,39.38,19.2316516897,-0.0571298691976
4776.0,17.2692307692,39.73,19.6560278916,-0.0499886355479
4806.0,17.3076923077,40.06,20.0804040936,-0.0499886355479
4835.0,17.375,40.34,20.4508912539,-0.0499886355479
