----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,10
DAY,31
TIME,20:15:10,UTC
PLOT,3,#
HEIGHT,60,cm
TEMPERATURE,nan,C
HUMIDITY,nan,%
LATITUDE,39.6705,angular degrees
LONGITUDE,-75.7499,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,TRIAL
PRE_TEST_NOTE_2,FLEXTEST
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,8.96153846154,32.06,4.7961246946,-0.0499886355479
36.0,9.04807692308,32.07,4.80959695498,-0.0499886355479
60.0,8.98076923077,32.08,4.80959695498,-0.0499886355479
88.0,9.00961538462,32.09,4.83654147574,-0.0499886355479
117.0,9.00961538462,32.11,4.89716664744,-0.0571298691976
145.0,9.04807692308,32.13,4.94431955876,-0.0499886355479
173.0,9.07692307692,32.12,5.05209764179,-0.0499886355479
202.0,9.05769230769,32.1,5.20029250595,-0.0499886355479
231.0,9.06730769231,32.07,5.4764738437,-0.0499886355479
259.0,9.13461538462,32.01,5.8402248739,-0.0499886355479
288.0,9.07692307692,31.95,6.27807333619,-0.0571298691976
317.0,9.08653846154,31.89,6.83043601169,-0.0499886355479
346.0,9.25,31.82,7.53099355136,-0.0499886355479
375.0,9.36538461538,31.78,8.19787044007,-0.0499886355479
404.0,9.5,31.74,8.90516410992,-0.0571298691976
434.0,9.72115384615,31.75,9.74044425336,-0.0571298691976
462.0,9.82692307692,31.81,10.6700302195,-0.0499886355479
492.0,10.0480769231,31.92,11.6198245761,-0.0499886355479
521.0,10.2980769231,32.02,12.5292021516,-0.0499886355479
550.0,10.5769230769,32.14,13.4722603781,-0.0499886355479
579.0,11.0673076923,32.38,14.2401792196,-0.0499886355479
608.0,11.4134615385,32.62,14.9407367593,-0.0571298691976
637.0,11.7403846154,32.87,15.5537246065,-0.0499886355479
666.0,12.0480769231,33.19,16.1936569745,-0.0499886355479
696.0,12.3846153846,33.59,16.6921306085,-0.0499886355479
724.0,12.6153846154,33.96,17.069353899,-0.0499886355479
754.0,12.8846153846,34.34,17.4263687991,-0.0571298691976
783.0,13.125,34.8,17.7362307878,-0.0499886355479
812.0,13.4519230769,35.26,17.9719953444,-0.0499886355479
841.0,13.8269230769,35.68,18.1538708595,-0.0499886355479
870.0,14.0961538462,36.11,18.4165799369,-0.0499886355479
899.0,14.4134615385,36.59,17.7564391783,-0.0499886355479
928.0,14.875,37.1,18.4772051086,-0.0499886355479
958.0,15.3653846154,37.57,18.7466503161,-0.0499886355479
986.0,15.5673076923,38.05,18.6792890142,-0.0499886355479
1016.0,16.0192307692,38.58,18.9352619614,-0.0499886355479
1045.0,16.3173076923,39.17,19.096929086,-0.0499886355479
1074.0,16.5769230769,39.81,19.312485252,-0.0571298691976
1103.0,16.9038461538,40.43,19.312485252,-0.0499886355479
1132.0,17.0865384615,41.08,19.2990129916,-0.0428474018982
1162.0,17.3365384615,41.79,19.2720684709,-0.0499886355479
1190.0,17.5576923077,42.56,19.1844987784,-0.0499886355479
1220.0,17.7307692308,43.29,19.0363039142,-0.0499886355479
1249.0,17.8173076923,43.97,18.672552884,-0.0571298691976
1278.0,17.8557692308,44.57,18.2751212029,-0.0499886355479
1307.0,17.8173076923,45.05,17.8103282198,-0.0571298691976
1336.0,17.5192307692,45.4,17.1367152009,-0.0571298691976
1365.0,16.9038461538,45.62,16.3822686198,-0.0499886355479
1394.0,16.8173076923,45.73,15.5267800858,-0.0428474018982
1424.0,16.6923076923,45.77,14.7588612442,-0.0499886355479
1452.0,16.5,45.75,14.0583037045,-0.0499886355479
1482.0,16.3942307692,45.67,13.4520519875,-0.0499886355479
1511.0,16.1442307692,45.56,12.9131615724,-0.0499886355479
1539.0,15.9615384615,45.43,12.4416324592,-0.0499886355479
1569.0,15.7307692308,45.25,11.9498949554,-0.0499886355479
1598.0,15.5096153846,45.07,11.4110045402,-0.0428474018982
1627.0,15.1538461538,44.82,10.9327392968,-0.0499886355479
1656.0,14.8461538462,44.54,10.4948908345,-0.0499886355479
1686.0,14.5576923077,44.19,10.0300978515,-0.0499886355479
1715.0,14.2884615385,43.85,9.51815195712,-0.0571298691976
1744.0,14.0480769231,43.5,9.01967832314,-0.0571298691976
1773.0,13.7596153846,43.09,8.62224664198,-0.0571298691976
1802.0,13.5769230769,42.67,8.17092591932,-0.0499886355479
1831.0,13.1634615385,42.19,7.65898002495,-0.0571298691976
1860.0,12.9134615385,41.69,7.16050639096,-0.0499886355479
1890.0,12.75,41.16,6.71592179848,-0.0499886355479
1918.0,12.5096153846,40.66,6.31849011733,-0.0571298691976
1947.0,12.2403846154,40.16,5.88064165504,-0.0499886355479
1975.0,12.0288461538,39.67,5.5370990154,-0.0499886355479
2003.0,11.7596153846,39.16,5.11272281349,-0.0499886355479
2032.0,11.6826923077,38.67,4.6748743512,-0.0499886355479
2061.0,11.1923076923,38.18,4.23702588891,-0.0499886355479
2089.0,10.9326923077,37.65,3.89348324927,-0.0428474018982
2118.0,10.6634615385,37.11,3.54994060963,-0.0499886355479
2147.0,10.4711538462,36.54,3.24007862093,-0.0499886355479
2175.0,10.1538461538,35.97,3.05820310583,-0.0571298691976
2204.0,10.0096153846,35.41,2.95716115299,-0.0499886355479
2233.0,9.91346153846,34.85,2.90327211148,-0.0571298691976
2261.0,9.85576923077,34.31,2.91674437186,-0.0499886355479
2290.0,9.70192307692,33.71,3.07841149639,-0.0642711028473
2319.0,9.74038461538,33.16,3.30070379263,-0.0571298691976
2347.0,9.69230769231,32.66,3.70487160398,-0.0499886355479
2376.0,9.69230769231,32.22,4.08883102475,-0.0499886355479
2404.0,9.79807692308,32.01,4.5536240078,-0.0499886355479
2432.0,10.5384615385,31.86,4.99147247008,-0.0499886355479
2461.0,10.8365384615,31.78,5.52362675502,-0.0499886355479
2490.0,10.9326923077,31.77,6.00862812863,-0.0571298691976
2518.0,11.1057692308,31.8,6.520574023,-0.0571298691976
2547.0,11.375,31.81,7.01904765699,-0.0571298691976
2577.0,11.5576923077,31.8,7.39627094757,-0.0428474018982
2605.0,11.8076923077,31.9,7.76675810797,-0.0499886355479
2634.0,12.0,32.06,8.18439817969,-0.0571298691976
2664.0,12.1442307692,32.22,8.50099629858,-0.0499886355479
2692.0,12.3942307692,32.41,8.78391376652,-0.0499886355479
2722.0,12.5769230769,32.72,9.08703962503,-0.0499886355479
2751.0,12.8173076923,33.05,9.43731839486,-0.0499886355479
2781.0,13.0192307692,33.29,9.78759716469,-0.0499886355479
2809.0,13.1538461538,33.6,10.1378759345,-0.0428474018982
2838.0,13.6346153846,33.94,10.5218353553,-0.0499886355479
2868.0,13.8076923077,34.3,11.0405173798,-0.0499886355479
2896.0,14.1538461538,34.67,11.5726716648,-0.0499886355479
2926.0,14.4615384615,35.12,12.1250343403,-0.0499886355479
2955.0,14.7115384615,35.61,12.7110776667,-0.0499886355479
2984.0,15.1923076923,36.11,13.4655242479,-0.0428474018982
3013.0,15.5096153846,36.6,14.0717759649,-0.0499886355479
3043.0,15.7884615385,37.18,14.7386528536,-0.0571298691976
3071.0,16.0961538462,37.79,15.3381684405,-0.0499886355479
3100.0,16.375,38.37,15.9107395065,-0.0499886355479
3130.0,16.7403846154,38.97,16.5304634839,-0.0571298691976
3158.0,16.9423076923,39.66,17.1501874613,-0.0499886355479
3188.0,17.1923076923,40.33,17.709286267,-0.0428474018982
3217.0,17.5,40.96,18.1336624689,-0.0428474018982
3246.0,17.7211538462,41.55,18.3626908953,-0.0571298691976
3275.0,17.8653846154,42.11,18.4772051086,-0.0499886355479
3304.0,18.1153846154,42.62,18.4906773689,-0.0499886355479
3333.0,18.0576923077,43.07,18.3896354161,-0.0499886355479
3362.0,18.1634615385,43.51,18.1269263387,-0.0499886355479
3392.0,18.2692307692,43.95,17.9113701727,-0.0499886355479
3421.0,18.1730769231,44.44,17.5004662311,-0.0499886355479
3450.0,18.1153846154,44.87,16.9683119462,-0.0571298691976
3479.0,17.5096153846,45.1,16.3485879688,-0.0499886355479
3509.0,17.1923076923,45.25,15.7086556009,-0.0499886355479
3537.0,17.1826923077,45.26,14.9272644989,-0.0571298691976
3566.0,17.0384615385,45.18,14.1324011366,-0.0499886355479
3596.0,16.9230769231,45.09,13.5328855498,-0.0571298691976
3624.0,16.7788461538,45.04,13.0478841762,-0.0499886355479
3654.0,16.6346153846,44.96,12.6235079743,-0.0499886355479
3683.0,16.5288461538,44.84,12.3001737252,-0.0499886355479
3712.0,16.3461538462,44.71,11.8690613931,-0.0428474018982
3741.0,16.0576923077,44.6,11.5996161855,-0.0499886355479
3770.0,15.9519230769,44.47,11.330170978,-0.0499886355479
3799.0,15.7115384615,44.3,10.8721141251,-0.0499886355479
3828.0,15.4711538462,44.11,10.4140572723,-0.0499886355479
3858.0,15.2884615385,43.86,10.1041952836,-0.0499886355479
3886.0,14.9615384615,43.62,9.82127781563,-0.0499886355479
3916.0,14.7019230769,43.4,9.24870674956,-0.0499886355479
3945.0,14.4423076923,43.12,8.74349698538,-0.0499886355479
3974.0,14.1730769231,42.79,8.25849561177,-0.0499886355479
4003.0,13.9903846154,42.47,7.75328584759,-0.0499886355479
4032.0,13.7211538462,42.14,7.23460382304,-0.0499886355479
4062.0,13.5,41.76,6.76981083999,-0.0571298691976
4090.0,13.2019230769,41.36,6.21744816449,-0.0499886355479
4119.0,12.9807692308,40.92,5.75265518145,-0.0499886355479
4148.0,12.7692307692,40.48,5.13966733424,-0.0499886355479
4176.0,12.6346153846,40.01,4.58730465874,-0.0499886355479
4205.0,12.4615384615,39.58,4.14272006626,-0.0499886355479
4234.0,12.2980769231,39.11,3.61730191152,-0.0428474018982
4262.0,12.0576923077,38.63,3.23334249074,-0.0499886355479
4291.0,11.875,38.15,2.84264693978,-0.0499886355479
4320.0,11.6923076923,37.72,2.50584043033,-0.0499886355479
4348.0,11.5,37.3,2.24313135295,-0.0499886355479
4377.0,11.2211538462,36.82,2.10167261898,-0.0499886355479
4405.0,11.0288461538,36.36,2.06125583785,-0.0571298691976
4433.0,10.8461538462,35.88,2.06799196804,-0.0499886355479
4462.0,10.6346153846,35.4,2.12861713974,-0.0428474018982
4491.0,10.6346153846,34.82,2.47889590957,-0.0499886355479
4519.0,10.6057692308,34.26,2.85611920016,-0.0499886355479
4548.0,10.6057692308,33.75,3.3815373549,-0.0571298691976
4577.0,10.6346153846,33.29,3.90021937946,-0.0499886355479
4605.0,10.625,32.97,4.56709626817,-0.0571298691976
4634.0,10.8269230769,32.87,5.15987572481,-0.0428474018982
4663.0,11.4038461538,32.77,5.81328035315,-0.0571298691976
4691.0,11.7403846154,32.66,6.31175398714,-0.0499886355479
4720.0,11.6730769231,32.64,6.99883926642,-0.0571298691976
4749.0,11.8269230769,32.72,7.55120194192,-0.0499886355479
4778.0,12.0192307692,32.73,8.19113430988,-0.0428474018982
4807.0,12.2596153846,32.74,8.59530212123,-0.0428474018982
