----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,3
TIME,15:33:29,UTC
PLOT,1,#
HEIGHT,60,cm
TEMPERATURE,14.0,C
HUMIDITY,48.0,%
LATITUDE,39.6705,angular degrees
LONGITUDE,-75.7501,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,FLEXTEST
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,C
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,5.78846153846,36.99,4.27070653986,-0.0499886355479
16.0,5.71153846154,36.98,4.25049814929,-0.0571298691976
40.0,5.82692307692,36.97,4.1831368474,-0.0499886355479
68.0,5.84615384615,36.97,4.16292845683,-0.0571298691976
97.0,5.97115384615,36.97,4.08209489456,-0.0499886355479
126.0,5.72115384615,36.97,4.05515037381,-0.0499886355479
153.0,6.01923076923,36.96,3.95410842097,-0.0571298691976
182.0,5.77884615385,36.94,3.96084455116,-0.0499886355479
211.0,5.91346153846,36.93,4.00126133229,-0.0428474018982
256.0,6.01923076923,36.9,3.92042777003,-0.0499886355479
414.0,5.75,37.03,4.20334523797,-0.0499886355479
431.0,5.76923076923,37.0,4.25723427948,-0.0499886355479
454.0,6.08653846154,37.0,4.34480397194,-0.0499886355479
483.0,6.35576923077,37.01,4.37174849269,-0.0499886355479
512.0,6.23076923077,37.01,4.58056852855,-0.0499886355479
540.0,6.39423076923,36.99,4.68161048139,-0.0499886355479
568.0,6.44230769231,37.02,4.80286082479,-0.0499886355479
597.0,6.31730769231,37.05,4.99147247008,-0.0571298691976
625.0,6.01923076923,37.06,5.08577829273,-0.0499886355479
654.0,6.46153846154,37.11,5.20029250595,-0.0571298691976
683.0,6.75,37.2,5.42258480218,-0.0499886355479
711.0,6.625,37.31,5.5370990154,-0.0499886355479
740.0,6.78846153846,37.39,5.73244679088,-0.0428474018982
769.0,6.75,37.47,5.88737778523,-0.0499886355479
797.0,6.54807692308,37.58,5.91432230598,-0.0499886355479
826.0,6.99038461538,37.69,6.04230877958,-0.0499886355479
855.0,6.92307692308,37.81,6.20397590411,-0.0428474018982
883.0,6.69230769231,37.91,6.23092042487,-0.0499886355479
912.0,7.21153846154,38.03,6.33869850789,-0.0428474018982
941.0,6.84615384615,38.1,6.37237915884,-0.0499886355479
969.0,7.13461538462,38.2,6.56099080413,-0.0428474018982
997.0,7.55769230769,38.31,6.47342111168,-0.0499886355479
1026.0,7.72115384615,38.43,6.6418243664,-0.0499886355479
1054.0,7.61538461538,38.54,6.71592179848,-0.0499886355479
1083.0,7.76923076923,38.65,6.7630747098,-0.0499886355479
1113.0,8.125,38.8,6.89779731359,-0.0571298691976
1141.0,7.75961538462,38.99,6.93821409472,-0.0499886355479
1171.0,8.25961538462,39.21,7.03251991737,-0.0499886355479
1200.0,8.375,39.44,7.0729366985,-0.0499886355479
1228.0,8.41346153846,39.63,7.1941870419,-0.0571298691976
1258.0,8.67307692308,39.82,7.18745091171,-0.0499886355479
1287.0,8.75,40.01,7.22113156266,-0.0499886355479
1316.0,8.59615384615,40.17,7.26154834379,-0.0499886355479
1345.0,9.02884615385,40.37,7.22786769285,-0.0499886355479
1375.0,9.0,40.63,7.12008960982,-0.0499886355479
1404.0,8.98076923077,40.87,7.18071478153,-0.0499886355479
1432.0,9.15384615385,41.07,7.05272830793,-0.0499886355479
1462.0,9.25961538462,41.26,7.09314508907,-0.0428474018982
1491.0,9.01923076923,41.48,7.0729366985,-0.0499886355479
1520.0,9.23076923077,41.69,7.0123115268,-0.0499886355479
1549.0,9.13461538462,41.85,6.91800570415,-0.0499886355479
1579.0,9.10576923077,42.04,6.84390827207,-0.0571298691976
1607.0,9.06730769231,42.18,6.7024495381,-0.0499886355479
1636.0,8.875,42.21,6.51383789281,-0.0428474018982
1665.0,8.83653846154,42.22,6.54751854375,-0.0499886355479
1693.0,8.07692307692,42.25,6.44647659092,-0.0499886355479
1722.0,8.42307692308,42.26,6.271337206,-0.0428474018982
1751.0,8.25,42.21,6.04904490977,-0.0499886355479
1779.0,8.19230769231,42.18,5.88064165504,-0.0499886355479
1808.0,7.74038461538,42.14,5.83348874372,-0.0428474018982
1837.0,7.64423076923,42.1,5.72571066069,-0.0428474018982
1864.0,8.0,42.02,5.68529387956,-0.0499886355479
1893.0,7.91346153846,41.91,5.42932093237,-0.0499886355479
1922.0,7.34615384615,41.77,5.31480671916,-0.0499886355479
1950.0,7.14423076923,41.61,5.14640346443,-0.0499886355479
1979.0,7.42307692308,41.44,5.09251442292,-0.0571298691976
2008.0,6.73076923077,41.28,4.97800020971,-0.0499886355479
2036.0,6.77884615385,41.09,4.74223565309,-0.0499886355479
2065.0,6.99038461538,40.87,4.6142491795,-0.0499886355479
2094.0,6.85576923077,40.63,4.44584592477,-0.0428474018982
2122.0,6.75961538462,40.4,4.22355362853,-0.0499886355479
2151.0,6.34615384615,40.19,4.22355362853,-0.0499886355479
2180.0,6.47115384615,39.94,4.1831368474,-0.0499886355479
2208.0,5.85576923077,39.67,4.00799746248,-0.0499886355479
2237.0,6.15384615385,39.42,3.86653872851,-0.0571298691976
2265.0,5.96153846154,39.17,3.79917742662,-0.0499886355479
2293.0,5.81730769231,38.91,3.54994060963,-0.0499886355479
2322.0,5.41346153846,38.67,3.53646834925,-0.0499886355479
2351.0,5.26923076923,38.42,3.4421625266,-0.0499886355479
2379.0,5.29807692308,38.19,3.26702314169,-0.0571298691976
2408.0,5.09615384615,37.97,3.03799471526,-0.0499886355479
2437.0,5.05769230769,37.75,2.73486885675,-0.0499886355479
2465.0,4.73076923077,37.53,2.75507724732,-0.0499886355479
2494.0,4.89423076923,37.33,2.42500686806,-0.0571298691976
2523.0,4.375,37.09,2.0882003586,-0.0499886355479
2551.0,4.14423076923,36.84,1.75139384915,-0.0571298691976
2580.0,4.27884615385,36.58,1.73792158877,-0.0499886355479
2609.0,4.13461538462,36.32,1.39437894913,-0.0571298691976
2637.0,3.93269230769,36.02,1.17208665289,-0.0499886355479
2665.0,3.92307692308,35.72,0.774654971741,-0.0499886355479
2694.0,4.01923076923,35.43,0.552362675502,-0.0499886355479
2722.0,4.02884615385,35.19,0.485001373611,-0.0499886355479
2750.0,3.98076923077,34.91,0.289653598129,-0.0499886355479
2779.0,3.69230769231,34.61,0.229028426428,-0.0571298691976
2806.0,3.60576923077,34.29,0.269445207562,-0.0499886355479
2835.0,3.88461538462,33.97,0.303125858507,-0.0499886355479
2863.0,3.45192307692,33.6,0.485001373611,-0.0499886355479
2890.0,3.40384615385,33.35,0.612987847203,-0.0499886355479
2919.0,3.95192307692,33.19,0.815071752875,-0.0499886355479
2948.0,4.22115384615,33.18,1.17882278308,-0.0499886355479
2976.0,4.51923076923,33.22,1.33375377743,-0.0499886355479
3005.0,4.64423076923,33.26,1.7244493284,-0.0499886355479
3034.0,4.78846153846,33.33,1.94674162463,-0.0571298691976
3061.0,4.97115384615,33.44,2.28354813409,-0.0499886355479
3090.0,5.05769230769,33.6,2.53952108127,-0.0499886355479
3119.0,5.14423076923,33.77,2.79549402845,-0.0499886355479
3147.0,5.39423076923,33.93,3.03799471526,-0.0571298691976
3176.0,5.52884615385,34.08,3.31417605301,-0.0499886355479
3205.0,5.51923076923,34.34,3.52299608887,-0.0571298691976
3233.0,5.60576923077,34.55,3.68466321341,-0.0499886355479
3262.0,5.72115384615,34.77,3.90695550965,-0.0499886355479
3291.0,5.875,35.02,3.94737229078,-0.0499886355479
3319.0,6.08653846154,35.32,4.14272006626,-0.0428474018982
3348.0,6.15384615385,35.56,4.19660910778,-0.0571298691976
3377.0,6.25961538462,35.72,4.37848462288,-0.0499886355479
3405.0,6.41346153846,35.89,4.47952657572,-0.0499886355479
3434.0,6.16346153846,36.07,4.64119370025,-0.0499886355479
3462.0,6.39423076923,36.21,4.74223565309,-0.0499886355479
3490.0,6.50961538462,36.3,4.95105568895,-0.0499886355479
3519.0,6.38461538462,36.52,5.14640346443,-0.0499886355479
3548.0,6.75961538462,36.79,5.2878621984,-0.0571298691976
3576.0,6.70192307692,37.04,5.38216802105,-0.0571298691976
3605.0,6.5,37.19,5.41584867199,-0.0499886355479
3634.0,6.79807692308,37.31,5.55057127578,-0.0499886355479
3662.0,7.0,37.53,5.67182161918,-0.0499886355479
3691.0,7.17307692308,37.73,5.7795997022,-0.0499886355479
3720.0,7.24038461538,37.9,5.82001648334,-0.0571298691976
3748.0,7.17307692308,38.07,5.90085004561,-0.0571298691976
3777.0,7.60576923077,38.24,6.00189199844,-0.0499886355479
3806.0,7.52884615385,38.37,6.10293395128,-0.0428474018982
3834.0,7.71153846154,38.47,6.20397590411,-0.0571298691976
3862.0,7.85576923077,38.65,6.28480946638,-0.0499886355479
3891.0,7.91346153846,38.84,6.35890689846,-0.0499886355479
3919.0,8.10576923077,38.99,6.50710176262,-0.0499886355479
3948.0,7.95192307692,39.14,6.5811991947,-0.0499886355479
3977.0,8.30769230769,39.31,6.66203275697,-0.0499886355479
4006.0,8.47115384615,39.49,6.76981083999,-0.0499886355479
4035.0,8.54807692308,39.68,6.84390827207,-0.0499886355479
4064.0,8.64423076923,39.9,6.87758892302,-0.0499886355479
4093.0,8.75961538462,40.16,6.83043601169,-0.0499886355479
4122.0,8.70192307692,40.45,6.85064440226,-0.0571298691976
4151.0,8.75,40.76,6.86411666264,-0.0499886355479
4181.0,8.69230769231,41.08,6.81022762113,-0.0499886355479
4209.0,8.63461538462,41.39,6.7024495381,-0.0571298691976
4238.0,8.64423076923,41.64,6.520574023,-0.0499886355479
4267.0,8.80769230769,41.84,6.30501785695,-0.0571298691976
4295.0,8.63461538462,41.91,6.10967008147,-0.0499886355479
4324.0,8.33653846154,41.94,5.8402248739,-0.0499886355479
4353.0,8.0,41.91,5.66508548899,-0.0499886355479
4381.0,7.82692307692,41.85,5.42932093237,-0.0499886355479
4410.0,7.97115384615,41.79,5.26091767765,-0.0428474018982
4439.0,7.71153846154,41.7,5.08577829273,-0.0428474018982
4467.0,7.47115384615,41.64,4.97800020971,-0.0499886355479
4495.0,7.32692307692,41.55,4.75570791347,-0.0499886355479
4524.0,7.45192307692,41.44,4.66813822101,-0.0428474018982
4552.0,7.32692307692,41.3,4.50647109647,-0.0499886355479
4581.0,7.25961538462,41.17,4.31785945118,-0.0499886355479
4610.0,7.125,41.04,4.29091493042,-0.0499886355479
4638.0,6.83653846154,40.87,4.16292845683,-0.0499886355479
4667.0,6.89423076923,40.68,4.02820585305,-0.0499886355479
4696.0,6.75961538462,40.49,4.00799746248,-0.0499886355479
4724.0,6.33653846154,40.31,3.95410842097,-0.0499886355479
4753.0,6.53846153846,40.11,3.79917742662,-0.0499886355479
4782.0,6.59615384615,39.91,3.84633033795,-0.0571298691976
4810.0,6.30769230769,39.7,3.72507999454,-0.0499886355479
4839.0,6.28846153846,39.52,3.69813547379,-0.0571298691976
4868.0,5.73076923077,39.35,3.62403804171,-0.0571298691976
