----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,3
TIME,18:56:52,UTC
PLOT,1,#
HEIGHT,60,cm
TEMPERATURE,15.3,C
HUMIDITY,42.2,%
LATITUDE,39.6706,angular degrees
LONGITUDE,-75.75,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,FLEXTEST
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,16.6153846154,36.03,3.3815373549,-0.0571298691976
35.0,16.6057692308,36.04,3.33438444358,-0.0499886355479
58.0,16.6057692308,36.02,3.36132896433,-0.0499886355479
86.0,16.6153846154,36.01,3.43542639641,-0.0499886355479
115.0,16.625,35.99,3.49605156812,-0.0571298691976
144.0,16.6153846154,36.0,3.52299608887,-0.0499886355479
172.0,16.6346153846,36.02,3.50952382849,-0.0499886355479
201.0,16.6634615385,36.0,3.5027876983,-0.0499886355479
230.0,16.6346153846,35.97,3.57688513038,-0.0499886355479
258.0,16.8269230769,35.95,3.79244129643,-0.0571298691976
287.0,16.7788461538,35.89,3.99452520211,-0.0499886355479
316.0,16.8942307692,35.79,4.47952657572,-0.0499886355479
344.0,16.8846153846,35.74,5.00494473046,-0.0571298691976
373.0,17.1442307692,35.71,5.63140483804,-0.0499886355479
402.0,17.1153846154,35.69,6.29154559657,-0.0571298691976
430.0,17.2115384615,35.74,7.1335618702,-0.0499886355479
459.0,17.4038461538,35.81,7.90821684194,-0.0499886355479
488.0,17.4807692308,35.88,8.67613568349,-0.0499886355479
517.0,17.6346153846,36.0,9.30259579108,-0.0499886355479
546.0,17.8173076923,36.15,9.81454168544,-0.0428474018982
576.0,17.8942307692,36.34,10.2658624081,-0.0499886355479
604.0,17.9903846154,36.54,10.6026689176,-0.0499886355479
634.0,18.0769230769,36.73,10.9664199478,-0.0499886355479
663.0,18.1730769231,36.91,11.3840600195,-0.0571298691976
691.0,18.25,37.05,11.6467690969,-0.0499886355479
721.0,18.3557692308,37.16,12.0374646478,-0.0428474018982
750.0,18.5384615385,37.26,12.3944795478,-0.0499886355479
779.0,18.7788461538,37.36,12.8929531818,-0.0499886355479
808.0,18.8365384615,37.49,13.2432319517,-0.0571298691976
838.0,19.0480769231,37.6,13.8494836687,-0.0499886355479
866.0,19.1153846154,37.73,14.4085824744,-0.0499886355479
896.0,19.2692307692,37.92,14.9272644989,-0.0499886355479
925.0,19.4326923077,38.12,15.4594187839,-0.0499886355479
954.0,19.4903846154,38.31,16.0454621103,-0.0571298691976
983.0,19.6442307692,38.52,16.496782833,-0.0499886355479
1012.0,19.7403846154,38.77,17.0356732481,-0.0428474018982
1042.0,19.7692307692,39.04,17.4398410594,-0.0499886355479
1070.0,19.9038461538,39.36,17.6486610953,-0.0571298691976
1100.0,20.0,39.69,17.5341468821,-0.0499886355479
1129.0,20.0384615385,40.06,17.2849100651,-0.0499886355479
1157.0,20.0,40.44,16.8335893424,-0.0499886355479
1187.0,19.9423076923,40.73,16.1330318028,-0.0499886355479
1216.0,19.875,40.87,15.2101819669,-0.0499886355479
1245.0,19.1923076923,40.82,14.3210127819,-0.0428474018982
1274.0,18.7980769231,40.75,13.2769126026,-0.0428474018982
1304.0,18.8269230769,40.63,12.5022576309,-0.0499886355479
1332.0,18.7788461538,40.47,11.8960059139,-0.0499886355479
1362.0,18.6826923077,40.31,11.6939220082,-0.0499886355479
1391.0,18.6538461538,40.19,11.3975322799,-0.0571298691976
1419.0,18.625,40.13,11.296490327,-0.0571298691976
1449.0,18.5673076923,40.1,11.0674619006,-0.0499886355479
1478.0,18.5,40.06,10.8384334742,-0.0499886355479
1507.0,18.3461538462,40.07,10.4948908345,-0.0499886355479
1536.0,18.2115384615,40.07,10.2523901477,-0.0499886355479
1566.0,18.0961538462,40.06,9.7808610345,-0.0499886355479
1595.0,17.9615384615,39.99,9.19481770805,-0.0499886355479
1623.0,17.7788461538,39.9,8.55488534009,-0.0499886355479
1653.0,17.6153846154,39.84,7.73981358722,-0.0428474018982
1682.0,17.4711538462,39.69,6.9516863551,-0.0571298691976
1711.0,17.4230769231,39.54,6.1500868626,-0.0499886355479
1740.0,17.2019230769,39.32,5.44952932294,-0.0428474018982
1769.0,16.9711538462,39.03,4.76244404366,-0.0499886355479
1797.0,16.8557692308,38.73,4.04167811343,-0.0499886355479
1825.0,16.7211538462,38.4,3.48931543793,-0.0499886355479
1854.0,16.5961538462,38.06,3.06493923602,-0.0499886355479
1882.0,16.4711538462,37.72,2.59341012278,-0.0499886355479
1911.0,16.3076923077,37.43,2.2161868322,-0.0499886355479
1940.0,16.2403846154,37.16,1.89285258312,-0.0499886355479
1968.0,16.1346153846,36.9,1.79854676048,-0.0499886355479
1997.0,16.0769230769,36.62,1.73792158877,-0.0499886355479
2026.0,15.9230769231,36.32,1.83896354161,-0.0428474018982
2054.0,15.9326923077,36.01,2.06799196804,-0.0499886355479
2083.0,15.9423076923,35.67,2.38459008692,-0.0499886355479
2112.0,16.0096153846,35.34,2.83591080959,-0.0499886355479
2140.0,16.0,35.08,3.34112057377,-0.0499886355479
2169.0,16.0096153846,34.91,3.97431681154,-0.0499886355479
2198.0,16.1346153846,34.84,4.60751304931,-0.0499886355479
2226.0,16.6826923077,34.89,5.13293120405,-0.0499886355479
2254.0,17.2115384615,34.96,5.66508548899,-0.0499886355479
2283.0,17.2019230769,34.98,6.32522624752,-0.0571298691976
2311.0,17.2788461538,35.0,6.94495022491,-0.0499886355479
2341.0,17.3173076923,35.04,7.54446581173,-0.0571298691976
2370.0,17.5096153846,35.07,8.16418978913,-0.0499886355479
2399.0,17.6057692308,35.13,8.71655246463,-0.0571298691976
2428.0,17.6923076923,35.24,9.36322096278,-0.0499886355479
2457.0,17.8173076923,35.43,10.0907230232,-0.0499886355479
2486.0,17.9519230769,35.56,10.6094050478,-0.0571298691976
2515.0,18.0576923077,35.69,11.1280870723,-0.0428474018982
2545.0,18.1923076923,35.87,11.6198245761,-0.0499886355479
2573.0,18.3942307692,36.04,12.3069098554,-0.0571298691976
2603.0,18.4326923077,36.21,13.0074673951,-0.0499886355479
2632.0,18.5384615385,36.39,13.4655242479,-0.0499886355479
2662.0,18.6538461538,36.58,14.0246230536,-0.0499886355479
2690.0,18.8269230769,36.77,14.4692076461,-0.0499886355479
2719.0,19.0192307692,36.92,15.1024038838,-0.0499886355479
2749.0,19.2980769231,37.06,15.641294299,-0.0499886355479
2777.0,19.4423076923,37.27,16.4496299217,-0.0571298691976
2807.0,19.5096153846,37.49,17.2849100651,-0.0499886355479
2836.0,19.7307692308,37.78,18.0258843859,-0.0499886355479
2865.0,19.7692307692,38.04,18.6523444935,-0.0499886355479
2894.0,19.9903846154,38.36,19.2451239501,-0.0499886355479
2923.0,19.9807692308,38.66,19.7301253237,-0.0499886355479
2952.0,20.1538461538,38.95,20.2959602596,-0.0571298691976
2981.0,20.2884615385,39.35,20.4576273841,-0.0499886355479
3011.0,20.4326923077,39.64,20.5990861181,-0.0499886355479
3039.0,20.4134615385,39.94,20.6529751596,-0.0499886355479
3069.0,20.4326923077,40.23,20.2892241294,-0.0499886355479
3098.0,20.4519230769,40.53,19.9322092294,-0.0499886355479
3127.0,20.4326923077,40.81,19.3731104237,-0.0499886355479
3156.0,20.4134615385,41.02,18.8274838784,-0.0499886355479
3185.0,19.6730769231,41.15,17.9046340425,-0.0499886355479
3214.0,19.2788461538,41.23,17.0356732481,-0.0499886355479
3243.0,19.1538461538,41.28,16.1330318028,-0.0499886355479
3273.0,19.0384615385,41.22,15.0417787121,-0.0499886355479
3302.0,18.8942307692,41.09,14.0583037045,-0.0428474018982
3331.0,18.7596153846,41.03,13.4453158573,-0.0499886355479
3360.0,18.5961538462,40.92,12.8121196196,-0.0499886355479
3389.0,18.4519230769,40.77,12.0509369082,-0.0499886355479
3418.0,18.4519230769,40.55,11.5726716648,-0.0499886355479
3447.0,18.2019230769,40.38,11.0337812497,-0.0571298691976
3477.0,18.1442307692,40.25,10.6094050478,-0.0499886355479
3505.0,17.9903846154,40.14,10.1244036741,-0.0499886355479
3535.0,17.8173076923,39.95,9.67308295147,-0.0499886355479
3564.0,17.6153846154,39.75,9.19481770805,-0.0571298691976
3593.0,17.4807692308,39.58,8.88495571935,-0.0499886355479
3622.0,17.3653846154,39.37,8.34606530423,-0.0499886355479
3651.0,17.1730769231,39.09,7.64550776457,-0.0499886355479
3680.0,17.0384615385,38.86,6.93147796453,-0.0499886355479
3709.0,16.9326923077,38.61,6.14335073241,-0.0499886355479
3738.0,16.8076923077,38.37,5.52362675502,-0.0499886355479
3766.0,16.6923076923,38.15,5.01168086065,-0.0499886355479
3795.0,16.5865384615,37.93,4.66140209082,-0.0571298691976
3824.0,16.3653846154,37.65,4.1831368474,-0.0571298691976
3852.0,16.3557692308,37.3,3.76549677568,-0.0499886355479
3881.0,16.25,36.93,3.41521800585,-0.0499886355479
3910.0,16.3076923077,36.54,3.14577279829,-0.0499886355479
3938.0,16.1826923077,36.19,3.3209121832,-0.0499886355479
3967.0,16.1442307692,35.8,3.61056578133,-0.0499886355479
3996.0,16.2596153846,35.41,3.88001098889,-0.0499886355479
4024.0,16.1634615385,35.08,4.23028975872,-0.0428474018982
4052.0,16.1346153846,34.99,4.94431955876,-0.0499886355479
4081.0,16.375,34.97,5.58425192672,-0.0571298691976
4109.0,17.0384615385,35.0,6.31849011733,-0.0499886355479
4138.0,17.5,35.06,6.89779731359,-0.0428474018982
4168.0,17.4711538462,35.04,7.66571615514,-0.0571298691976
4197.0,17.5096153846,35.04,8.3056485231,-0.0499886355479
4226.0,17.6538461538,35.0,9.13419253635,-0.0499886355479
4255.0,17.7307692308,35.07,9.82127781563,-0.0571298691976
4284.0,17.9038461538,35.16,10.6700302195,-0.0499886355479
4313.0,17.9903846154,35.31,11.5053103629,-0.0499886355479
4342.0,18.125,35.51,12.3338543761,-0.0499886355479
4372.0,18.2596153846,35.71,12.9468422234,-0.0499886355479
4400.0,18.3942307692,35.89,13.4992048989,-0.0499886355479
4430.0,18.4807692308,36.09,13.8158030177,-0.0499886355479
4459.0,18.7019230769,36.27,14.1391372668,-0.0571298691976
4487.0,19.0288461538,36.44,14.4153186046,-0.0499886355479
4517.0,19.2403846154,36.62,14.893583848,-0.0571298691976
4546.0,19.4423076923,36.8,15.4661549141,-0.0499886355479
4575.0,19.5576923077,37.02,16.1262956726,-0.0571298691976
4604.0,19.8269230769,37.26,16.8133809519,-0.0499886355479
4634.0,20.0480769231,37.58,17.5880359236,-0.0571298691976
4662.0,20.2019230769,37.91,18.1269263387,-0.0571298691976
4692.0,20.4326923077,38.27,18.9352619614,-0.0499886355479
4721.0,20.6057692308,38.69,19.7368614539,-0.0499886355479
4749.0,20.7115384615,39.12,20.524988686,-0.0571298691976
4779.0,20.8653846154,39.53,20.8954758464,-0.0499886355479
4808.0,20.9326923077,39.92,21.02346232,-0.0499886355479
