----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,ES
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2018
MONTH,11
DAY,4
TIME,17:18:15,UTC
PLOT,1,#
HEIGHT,60,cm
TEMPERATURE,18.6,C
HUMIDITY,32.1,%
LATITUDE,39.6703,angular degrees
LONGITUDE,-75.7501,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,FLEXTEST
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,B
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,148.4531878,0.0,N,647101
LOAD_Y,140.0318277,0.0,NEWTON,SENS.713585
IMU,1.0,0.0,Deg,imu1
POT,-104.0,12477.0,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,15.875,32.16,4.45258205496,-0.0499886355479
17.0,15.8461538462,32.16,4.44584592477,-0.0499886355479
40.0,15.8365384615,32.17,4.47952657572,-0.0571298691976
69.0,15.8269230769,32.16,4.48626270591,-0.0499886355479
97.0,15.9134615385,32.14,4.47952657572,-0.0499886355479
126.0,16.0192307692,32.11,4.48626270591,-0.0499886355479
155.0,15.8365384615,32.09,4.49973496628,-0.0571298691976
183.0,15.8846153846,32.09,4.50647109647,-0.0499886355479
212.0,15.8461538462,32.09,4.43237366439,-0.0499886355479
240.0,15.8365384615,32.11,4.45931818515,-0.0499886355479
268.0,15.8365384615,32.15,4.44584592477,-0.0499886355479
297.0,15.8269230769,32.2,4.39195688326,-0.0499886355479
326.0,15.8557692308,32.22,4.38522075307,-0.0499886355479
354.0,15.8846153846,32.22,4.41890140402,-0.0499886355479
434.0,15.8365384615,32.19,4.62772143988,-0.0499886355479
609.0,15.9230769231,32.35,5.06556990216,-0.0499886355479
787.0,16.9326923077,32.57,5.88737778523,-0.0571298691976
855.0,16.9038461538,32.65,6.0288365192,-0.0499886355479
879.0,16.9807692308,32.61,6.23765655506,-0.0499886355479
906.0,17.0576923077,32.57,6.43300433054,-0.0499886355479
935.0,17.2788461538,32.56,6.69571340791,-0.0571298691976
964.0,17.1730769231,32.62,6.9516863551,-0.0428474018982
993.0,17.3557692308,32.72,7.1941870419,-0.0428474018982
1022.0,17.3846153846,32.75,7.36932642682,-0.0571298691976
1052.0,17.5769230769,32.8,7.47036837965,-0.0571298691976
1080.0,17.6923076923,32.86,7.65224389476,-0.0571298691976
1109.0,17.8269230769,32.92,7.78696649854,-0.0499886355479
1139.0,17.9423076923,33.03,8.09009235705,-0.0571298691976
1167.0,18.0096153846,33.19,8.33932917404,-0.0499886355479
1197.0,18.125,33.39,8.6693995533,-0.0499886355479
1226.0,18.1923076923,33.55,8.80412215709,-0.0499886355479
1256.0,18.4711538462,33.72,9.03315058351,-0.0499886355479
1284.0,18.3173076923,33.88,9.28238740051,-0.0571298691976
1314.0,18.4615384615,34.08,9.43731839486,-0.0499886355479
1343.0,18.625,34.26,9.62593004015,-0.0499886355479
1371.0,18.6923076923,34.48,9.76738877412,-0.0499886355479
1401.0,18.8653846154,34.66,9.9021113779,-0.0499886355479
1430.0,18.9230769231,34.84,9.9627365496,-0.0428474018982
1459.0,18.9711538462,35.0,10.0098894609,-0.0499886355479
1488.0,19.0096153846,35.15,10.0637785024,-0.0571298691976
1518.0,19.1538461538,35.3,10.2052372364,-0.0499886355479
1546.0,19.2019230769,35.48,10.2187094968,-0.0499886355479
1575.0,19.2403846154,35.6,10.3601682308,-0.0428474018982
1605.0,19.4038461538,35.7,10.0772507628,-0.0571298691976
1633.0,19.2980769231,35.8,10.0637785024,-0.0499886355479
1663.0,19.3269230769,35.91,9.97620880998,-0.0571298691976
1692.0,19.4903846154,36.1,9.72697199299,-0.0499886355479
1721.0,19.25,36.28,9.59898551939,-0.0499886355479
1750.0,19.1634615385,36.38,9.40363774391,-0.0499886355479
1780.0,18.4903846154,36.41,9.07356736465,-0.0571298691976
1809.0,17.9423076923,36.37,8.81085828727,-0.0499886355479
1837.0,17.7980769231,36.38,8.62224664198,-0.0499886355479
1867.0,17.9230769231,36.42,8.31238465329,-0.0571298691976
1896.0,17.875,36.36,8.04967557591,-0.0571298691976
1925.0,17.9615384615,36.25,7.57814646268,-0.0499886355479
1954.0,17.9711538462,36.14,7.42995159852,-0.0499886355479
1984.0,17.7980769231,36.04,6.91800570415,-0.0499886355479
2012.0,17.6826923077,35.93,6.56772693432,-0.0571298691976
2041.0,17.5384615385,35.77,6.38585141922,-0.0499886355479
2070.0,17.3365384615,35.59,6.12987847203,-0.0499886355479
2098.0,17.25,35.4,5.8402248739,-0.0571298691976
2127.0,17.1923076923,35.21,5.69876613993,-0.0499886355479
2156.0,16.9615384615,35.01,5.44952932294,-0.0499886355479
2184.0,16.8365384615,34.82,5.03862538141,-0.0499886355479
2213.0,16.6730769231,34.66,4.64792983044,-0.0571298691976
2241.0,16.6538461538,34.48,4.33806784175,-0.0499886355479
2269.0,16.375,34.27,4.00799746248,-0.0571298691976
2298.0,16.3076923077,34.05,3.70487160398,-0.0499886355479
2327.0,16.1538461538,33.79,3.55667673982,-0.0499886355479
2355.0,16.0865384615,33.54,3.36806509452,-0.0571298691976
2384.0,16.0,33.34,3.15250892847,-0.0571298691976
2413.0,15.8557692308,33.13,2.90327211148,-0.0571298691976
2441.0,15.7211538462,32.92,2.65403529448,-0.0571298691976
2470.0,15.6442307692,32.67,2.34417330579,-0.0499886355479
2499.0,15.4711538462,32.42,2.14208940012,-0.0499886355479
2527.0,15.5096153846,32.16,1.98042227558,-0.0499886355479
2556.0,15.3653846154,31.89,1.85243580199,-0.0571298691976
2585.0,15.2788461538,31.59,1.76486610953,-0.0499886355479
2613.0,15.2403846154,31.34,1.74465771896,-0.0499886355479
2641.0,15.1923076923,31.1,1.65035189632,-0.0499886355479
2670.0,15.1634615385,30.84,1.58299059443,-0.0499886355479
2698.0,15.2788461538,30.58,1.56951833405,-0.0499886355479
2727.0,15.2019230769,30.35,1.56951833405,-0.0499886355479
2756.0,15.1826923077,30.17,1.67056028688,-0.0571298691976
2784.0,15.1923076923,30.11,1.79181063029,-0.0571298691976
2813.0,15.1538461538,30.1,1.91979710388,-0.0499886355479
2842.0,15.1538461538,30.14,2.04104744728,-0.0571298691976
2870.0,15.1923076923,30.16,2.20271457182,-0.0571298691976
2899.0,15.4615384615,30.16,2.31049265484,-0.0499886355479
2928.0,15.6923076923,30.17,2.45195138881,-0.0499886355479
2956.0,15.7692307692,30.22,2.62035464354,-0.0499886355479
2985.0,15.9038461538,30.29,2.79549402845,-0.0499886355479
3014.0,16.1826923077,30.38,2.95716115299,-0.0428474018982
3042.0,16.2019230769,30.48,3.12556440772,-0.0499886355479
3070.0,16.2403846154,30.57,3.28723153226,-0.0571298691976
3099.0,16.2115384615,30.66,3.43542639641,-0.0571298691976
3127.0,16.3173076923,30.7,3.65771869265,-0.0499886355479
3156.0,16.6057692308,30.74,3.86653872851,-0.0499886355479
3185.0,16.5096153846,30.8,4.09556715494,-0.0499886355479
3213.0,16.5480769231,30.86,4.35154010213,-0.0499886355479
3242.0,16.6826923077,30.93,4.57383239836,-0.0642711028473
3271.0,16.7403846154,30.99,4.74223565309,-0.0499886355479
3299.0,16.875,31.04,4.96452794933,-0.0499886355479
3328.0,16.9711538462,31.14,5.20029250595,-0.0499886355479
3357.0,17.0673076923,31.25,5.42932093237,-0.0499886355479
3385.0,17.1634615385,31.4,5.73244679088,-0.0499886355479
3414.0,17.25,31.54,6.04904490977,-0.0499886355479
3443.0,17.4134615385,31.71,6.33869850789,-0.0428474018982
3470.0,17.5865384615,31.87,6.61487984565,-0.0499886355479
3499.0,17.7788461538,32.05,6.86411666264,-0.0428474018982
3529.0,17.7692307692,32.23,7.12682574001,-0.0571298691976
3558.0,17.9615384615,32.41,7.38953481739,-0.0428474018982
3587.0,18.2403846154,32.62,7.71960519665,-0.0499886355479
3616.0,18.2211538462,32.82,8.1170368778,-0.0428474018982
3646.0,18.3173076923,33.02,8.43363499669,-0.0499886355479
3674.0,18.4326923077,33.24,8.67613568349,-0.0499886355479
3703.0,18.6634615385,33.49,8.89842797973,-0.0499886355479
3733.0,18.7596153846,33.7,9.09377575521,-0.0499886355479
3761.0,18.8557692308,33.89,9.39016548353,-0.0499886355479
3791.0,19.0961538462,34.13,9.54509647788,-0.0499886355479
3820.0,19.1730769231,34.41,9.7202358628,-0.0499886355479
3849.0,19.3461538462,34.64,9.92231976847,-0.0499886355479
3878.0,19.4711538462,34.9,9.91558363828,-0.0571298691976
3908.0,19.4423076923,35.16,10.0300978515,-0.0499886355479
3936.0,19.4807692308,35.43,10.0907230232,-0.0642711028473
3965.0,19.5288461538,35.69,10.1648204553,-0.0499886355479
3995.0,19.5096153846,35.95,10.0772507628,-0.0499886355479
4023.0,19.4711538462,36.19,9.93579202885,-0.0499886355479
4053.0,19.4711538462,36.35,9.71349973261,-0.0499886355479
4082.0,19.3173076923,36.42,9.46426291561,-0.0571298691976
4111.0,18.8076923077,36.43,9.22176222881,-0.0499886355479
4140.0,18.1538461538,36.46,9.00620606276,-0.0571298691976
4169.0,18.0769230769,36.48,8.78391376652,-0.0428474018982
4199.0,17.9807692308,36.45,8.53467694952,-0.0499886355479
4227.0,18.1826923077,36.42,8.31238465329,-0.0499886355479
4257.0,18.1730769231,36.26,7.90148071175,-0.0571298691976
4286.0,18.1153846154,36.16,7.63877163438,-0.0499886355479
4315.0,18.0096153846,36.11,7.3221735155,-0.0499886355479
4344.0,17.8942307692,35.96,6.99210313623,-0.0571298691976
4374.0,17.7596153846,35.8,6.74960244943,-0.0571298691976
4402.0,17.6346153846,35.64,6.45321272111,-0.0571298691976
4431.0,17.5096153846,35.46,6.28480946638,-0.0499886355479
4460.0,17.4038461538,35.32,5.90085004561,-0.0499886355479
4488.0,17.2403846154,35.13,5.67855774937,-0.0571298691976
4517.0,17.2884615385,34.98,5.42932093237,-0.0571298691976
4546.0,17.0576923077,34.8,5.23397315689,-0.0499886355479
4574.0,16.8557692308,34.65,4.87695825687,-0.0499886355479
4602.0,16.8269230769,34.48,4.65466596063,-0.0571298691976
4631.0,16.7019230769,34.32,4.37174849269,-0.0499886355479
4659.0,16.5769230769,34.13,4.12924780589,-0.0499886355479
4688.0,16.4423076923,33.92,3.9339000304,-0.0571298691976
4717.0,16.2884615385,33.72,3.74528838511,-0.0499886355479
4745.0,16.1923076923,33.51,3.47584317755,-0.0571298691976
4774.0,16.0961538462,33.3,3.28049540207,-0.0571298691976
4803.0,16.0865384615,33.08,3.15924505866,-0.0499886355479
4831.0,15.9423076923,32.87,2.96389728318,-0.0571298691976
4860.0,15.9615384615,32.62,2.8291746794,-0.0571298691976
4889.0,15.875,32.42,2.68771594543,-0.0428474018982
4917.0,15.7307692308,32.28,2.48563203976,-0.0499886355479
4946.0,15.75,32.17,2.35764556617,-0.0571298691976
4975.0,15.7788461538,32.01,2.22965909257,-0.0499886355479
5002.0,15.5769230769,31.87,2.07472809823,-0.0499886355479
5031.0,15.5288461538,31.7,2.05451970766,-0.0499886355479
5060.0,15.5096153846,31.49,1.98042227558,-0.0499886355479
5088.0,15.5,31.26,1.99389453596,-0.0499886355479
5117.0,15.5673076923,31.03,2.02083905671,-0.0499886355479
5146.0,15.5769230769,30.82,2.09493648879,-0.0499886355479
